unit,pos,depth,player,class,origin,note
QB,QB,1,EJ Colson,SO,transfer:Incarnate Word,FCS: 9 st 2142 @ 71% 16-4 + 287 rush; UIW went 3-6 in his starts; 1 st at UCF '24; no FBS-vol tape
QB,QB,2,Raymond Moore III,SO,transfer:Morgan State,FCS: 7 st as Fr 1042 @ 54% 9-7
QB,QB,3,Chad Warner,FR,returning,rFr
QB,QB,3,Bodey Weaver,FR,recruit,PS#75
RB,RB,1,Tavorus Jones,JR,transfer:Missouri,6 att 63.5 (SEC +10.17 -> 73.7, useless sample); 183 career yds in 3-4 yrs; El Paso native; PS#14
RB,RB,2,Lamar Sperling,JR,transfer:Buffalo,39 att 75.7 (MAC -13.29 -> 62.4 adj); 234 @ 6.0 LY
RB,RB,3,Elijah McCoy,SO,returning,47 @ 3.1 true Fr 6 gm
WRTE,WR,1,Kam Thomas,SR,returning,yr4-OVERRIDE (two prints + OFY mechanism); '24: 9 st 532 @ 11.3 here; no '25 tape (OFY after 1 st)
WRTE,WR,1,Carver Cheeks,SR,transfer:Northern Colorado,FEED-GAP (two prints); FCS 1st-Tm Big Sky 929 @ 13.1
WRTE,WR,1,Jaden Smith,SR,returning,yr4-OVERRIDE (PS-only + OFY-inj mechanism); '24: 4 st 177 @ 8.4; DNP '25
WRTE,WR,2,Jaylan Brown,SO,returning,126 routes 58.5 UTEP '25 (54.3 adj) - PRINT CONFLICT (prints say MichSt; PFF row governs)
WRTE,WR,2,Royal Capell,SO,transfer:Oklahoma State,77 routes 54.9 (B12 +3.38 -> 58.3 adj)
WRTE,WR,2,Marcus Torres,SO,returning,33 routes 51.6 (47.4 adj)
WRTE,TE,1,Cash Cheeks,JR,returning,OFY '25 here; '24 at N.Colo: 171 @ 9.5; PS TE1 CAPS (Athlon prints Fr Andrus)
WRTE,TE,2,Judah Ezinwa,SR,returning,72 routes 58.7 (54.5 adj); 5 st 76 @ 19.0
OL,LT,1,Juan Camacho Jr.,SR,returning,89 snaps 54.0 (47.6 adj); 1 st RT 10 gm LY; El Paso native; PS LT1/Athlon RT1 (swing)
