player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,_provenance
Devin McCuin,176494,WR,UTSA,12,8.7,16,68.4,66.7,6,9,0,4.4,3,-0.08,37,331,0,82.4,77.5,77.7,62.1,78.9,0.0,0,2,52,0.3,1,347,4,45.2,65,92.8,322,26.2,91,110.2,95,8,73.8,256,726,352,5.4,11.2,2.25,2025_this_team
David Amador II,174085,WR,UTSA,11,5.7,12,78.0,83.3,10,12,0,6.1,3,-0.03,24,331,0,68.8,61.4,71.4,,71.4,0.7,2,1,45,0.0,0,295,1,46.2,46,91.5,270,63.1,186,113.7,59,4,35.9,106,446,265,5.8,9.7,1.65,2025_this_team
AJ Wilson,161436,WR,UTSA,13,11.7,5,62.0,28.6,4,14,0,3.1,1,0.18,19,331,0,82.2,72.2,66.3,,69.7,0.0,0,1,77,0.0,0,250,4,50.8,31,94.8,237,8.8,22,116.1,50,4,90.8,227,528,274,8.8,17.0,2.23,2025_this_team
Houston Thomas,158831,TE,UTSA,12,7.4,4,73.9,50.0,3,6,0,10.5,4,-0.04,16,331,0,60.8,72.3,62.8,67.5,68.3,44.7,126,1,32,22.0,62,282,2,46.1,34,73.0,206,48.9,138,100.5,46,2,5.0,14,347,144,4.2,10.2,1.68,2025_this_team
Patrick Overmyer,176495,TE,UTSA,13,9.8,2,58.7,50.0,5,10,0,15.6,5,0.05,16,331,0,46.1,77.3,76.2,68.0,64.8,42.5,122,2,45,22.0,63,287,1,45.4,27,73.9,212,50.5,145,100.3,46,5,4.9,14,344,159,5.9,12.7,1.62,2025_this_team
DJ Allen Jr.,157297,WR,UTSA,12,5.3,9,83.3,100.0,4,4,1,4.8,1,0.09,8,331,0,75.2,70.4,62.3,62.1,62.2,0.5,1,0,43,0.5,1,182,2,47.0,20,91.8,167,48.4,88,139.1,24,3,51.1,93,189,145,7.3,9.5,1.13,2025_this_team
Jamel Hardy Jr.,176490,WR,UTSA,9,8.0,3,61.9,60.0,3,5,1,7.1,1,-0.05,6,331,0,67.5,68.7,60.2,,59.7,0.0,0,0,39,0.0,0,138,2,46.5,13,92.0,127,8.0,11,95.7,21,1,92.0,127,132,54,4.2,10.2,1.04,2025_this_team
Dan Dishman,123308,TE,UTSA,11,6.4,0,90.9,100.0,1,1,1,0.0,0,0.07,5,331,0,80.9,67.9,58.5,64.8,58.8,65.1,97,0,26,36.2,54,149,2,48.2,10,61.1,91,32.2,48,134.8,11,1,2.0,3,100,49,4.9,10.0,1.1,2025_this_team
Mekhi Anderson,190253,WR,UTSA,5,2.3,3,83.3,,0,0,0,16.7,1,0.21,3,331,0,50.3,28.1,64.4,,73.7,0.0,0,0,20,0.0,0,17,0,47.1,5,100.0,17,58.8,10,152.1,6,1,41.2,7,66,55,11.0,13.2,3.88,2025_this_team
Elliott Brow,183453,WR,UTSA,5,-0.3,2,83.3,,0,0,0,0.0,0,0.05,1,331,0,76.3,79.1,61.3,,61.3,0.0,0,0,17,0.0,0,18,0,41.2,5,94.4,17,94.4,17,90.3,6,0,5.6,1,34,31,6.2,6.8,2.0,2025_this_team
Jaren Randle,123327,WR,UTSA,10,6.4,1,100.0,100.0,1,1,0,0.0,0,0.19,4,331,0,77.5,67.0,64.8,,64.3,0.0,0,0,28,0.0,0,70,0,41.8,5,95.7,67,34.3,24,157.9,5,1,65.7,46,62,30,6.0,12.4,0.93,2025_this_team
Brandon Young Jr.,183483,TE,N TEXAS,12,8.2,0,40.0,,0,0,0,0.0,0,0.18,2,251,0,73.1,67.9,61.2,74.8,57.2,43.2,19,0,8,27.3,12,44,0,50.0,2,68.2,30,38.6,17,87.5,5,1,9.1,4,10,10,5.0,5.0,0.33,arrival_2025_at_N TEXAS
Jaelen Smith,175469,WR,UTSA,4,10.7,0,0.0,,0,0,0,100.0,2,-0.22,0,331,0,2.7,,37.0,,39.8,0.0,0,0,0,0.0,0,11,0,36.4,0,100.0,11,36.4,4,39.6,3,0,63.6,7,0,0,,,0.0,2025_this_team
T.J. West,173655,WR,TEXAS TECH,4,0.3,1,100.0,,0,0,0,0.0,0,0.33,1,315,0,73.1,64.1,62.1,,64.1,0.0,0,0,9,0.0,0,21,0,55.0,3,95.2,20,14.3,3,100.0,3,0,85.7,18,24,23,7.7,8.0,1.2,arrival_2025_at_TEXAS TECH
Willie McCoy III,174103,WR,UTSA,4,15.7,0,0.0,0.0,0,2,0,,0,0.05,0,331,0,,65.6,53.3,,50.0,0.0,0,0,0,0.0,0,34,0,45.5,0,97.1,33,14.7,5,39.6,3,0,85.3,29,0,0,,,0.0,2025_this_team
