player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Nate Ritchie,131875,S,UTAH,5,4,0,64.3,1,0,328,0,0,54.5,57.0,82.2,62.8,59.9,36.5,0,2,0,0,73,31.6,12,1,1,99.4,9,0,0,76,7,123,219,12,0,0,12,0,91,207,4,92,33,12,22,4,14,2,0,147,122,16.3,2025_this_team
Rock Caldwell,156315,S,UTAH,7,0,0,60.0,0,0,328,0,0,86.5,82.7,79.8,,65.4,69.5,0,0,0,1,6,11.1,1,2,0,25.0,3,0,0,13,33,54,106,0,0,0,0,0,41,106,0,52,19,3,8,1,5,0,0,14,1,4.7,2025_this_team
Elijah Reed,157097,CB,AKRON,12,5,0,57.5,0,1,102,0,0,74.1,77.3,84.8,87.4,80.0,59.5,0,0,0,2,45,17.6,9,3,4,58.9,23,1,0,65,487,298,580,10,0,0,10,0,0,570,5,277,18,19,37,1,40,1,1,205,79,8.9,arrival_2025_at_AKRON
Elijah Davis,158479,CB,UTAH,13,4,0,56.0,1,0,328,0,0,57.8,58.2,46.9,59.8,62.3,68.0,0,0,2,2,37,12.5,5,1,4,79.6,28,0,0,20,439,357,627,4,0,0,4,0,2,623,1,269,162,6,31,1,50,0,3,330,100,11.8,2025_this_team
Tao Johnson,158490,S,UTAH,13,11,0,38.1,0,0,328,0,0,75.7,68.9,87.3,54.0,58.8,42.9,1,4,0,2,21,21.2,14,4,3,23.8,8,0,0,242,14,420,802,43,0,0,43,0,400,759,16,366,103,13,41,3,21,5,1,69,19,8.6,2025_this_team
Don Saunders,158931,CB,UTAH,8,0,0,44.4,0,0,328,0,0,67.2,66.9,0.0,,70.7,52.0,0,0,0,0,26,25.0,2,1,1,80.8,8,0,0,6,148,106,166,1,0,0,1,0,0,165,0,60,11,1,6,0,18,0,1,100,45,12.5,2025_this_team
Blake Cotton,168412,CB,UTAH,13,3,0,47.5,1,0,328,0,0,70.2,64.8,48.0,53.1,38.2,53.5,0,0,0,0,54,17.9,7,5,3,72.7,29,0,0,22,579,359,664,1,0,0,1,0,0,663,4,301,62,5,29,2,61,0,1,374,143,12.9,2025_this_team
JC Hart,172449,CB,UTAH,8,0,0,60.0,1,0,328,0,0,54.0,51.4,79.0,,43.5,48.2,0,0,0,0,23,25.0,1,0,2,87.9,3,0,0,0,81,42,88,0,0,0,0,0,0,88,0,46,7,0,3,0,5,0,0,43,13,14.3,2025_this_team
Jaylen Moson,172659,CB,UTAH,1,0,0,,0,0,328,0,0,,60.3,68.0,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,,2025_this_team
Smith Snowden,176662,CB,UTAH,13,4,0,43.9,0,0,328,0,0,73.6,69.3,87.8,55.8,47.3,37.7,0,2,0,2,88,28.3,13,5,4,63.5,25,0,0,35,275,334,632,1,0,0,1,0,22,631,2,296,299,14,29,3,57,2,2,380,177,15.2,2025_this_team
Jackson Bennee,183856,S,UTAH,13,16,2,65.7,0,0,328,0,0,81.5,74.1,52.7,55.2,64.9,49.0,4,12,1,4,42,23.3,20,4,1,59.9,23,0,0,210,16,336,676,16,0,0,16,0,147,660,46,294,287,17,50,3,35,16,1,278,87,12.1,2025_this_team
Rabbit Evans,188296,S,UTAH,1,0,0,,0,0,328,0,0,61.7,50.3,68.5,,53.1,21.8,0,0,0,0,,100.0,1,0,0,0.0,0,0,0,3,0,3,6,0,0,0,0,0,2,6,0,3,1,0,0,0,0,0,0,0,0,,2025_this_team
LaTristan Thompson,188303,CB,UTAH,4,1,0,28.6,0,0,328,0,0,46.1,47.4,79.2,,57.6,64.3,0,0,0,0,7,20.0,1,0,0,39.6,2,0,0,1,0,22,40,0,0,0,0,0,0,40,0,18,39,0,3,0,7,0,0,13,3,6.5,2025_this_team
James Chenault,189597,CB,USF,9,9,0,63.2,0,0,327,0,0,65.1,66.2,83.7,52.5,70.9,60.0,0,0,0,2,36,18.4,7,2,3,78.1,24,0,0,34,382,278,434,0,0,0,0,0,3,434,3,153,15,8,22,0,38,0,2,253,46,10.5,arrival_2025_at_USF
Nate Tilmon,199446,S,UTAH,11,5,0,80.0,0,0,328,0,0,62.4,64.3,79.3,63.5,64.3,61.2,1,6,0,0,39,17.6,3,0,1,158.3,4,1,0,78,3,74,184,11,0,0,11,0,44,173,15,95,48,4,9,0,5,8,1,77,29,19.3,2025_this_team
Jason Stokes Jr.,199462,CB,UTAH,2,0,0,50.0,1,0,328,0,0,69.9,70.1,74.1,,61.3,74.2,0,0,0,0,4,0.0,0,1,1,56.3,1,0,0,1,25,20,29,0,0,0,0,0,0,29,0,9,3,1,1,0,2,0,0,4,3,4.0,2025_this_team
Brock Fonoimoana,204412,S,UTAH,4,2,0,0.0,0,0,328,0,0,56.9,63.2,76.1,65.6,68.6,83.6,0,0,0,0,,0.0,0,0,0,39.6,0,0,0,14,1,20,47,1,0,0,1,0,20,46,2,25,11,3,4,1,1,0,0,0,0,,2025_this_team
Manny Fuller,204425,CB,UTAH,1,0,0,,0,0,328,0,0,62.2,63.1,69.5,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,3,6,0,0,0,0,0,0,6,0,3,6,0,0,0,0,0,0,0,0,,2025_this_team
