player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,_provenance
Braden Pegan,162463,WR,UTAH ST,12,14.7,4,63.8,55.0,11,20,0,3.2,2,0.12,38,329,0,85.7,75.7,73.7,,75.0,0.0,0,1,54,0.0,0,472,3,46.0,60,92.6,437,13.3,63,109.4,94,5,86.7,409,920,256,4.3,15.3,2.11,arrival_2025_at_UTAH ST
Kyri Shoels,188847,WR,S JOSE ST,12,14.0,9,68.2,50.0,7,14,0,6.3,4,-0.05,35,285,1,75.1,49.8,63.9,,64.8,0.0,0,4,43,0.0,0,499,3,43.8,60,94.8,473,5.2,26,84.7,88,2,94.8,473,785,117,2.0,13.1,1.66,arrival_2025_at_S JOSE ST
Ryan Davis,97321,WR,UTAH,12,9.3,12,75.6,58.3,7,12,0,3.1,2,0.28,32,328,1,85.5,50.1,75.3,54.4,76.6,0.0,0,0,56,0.3,1,302,1,52.1,62,93.7,283,39.4,119,118.1,82,4,60.6,183,724,220,3.5,11.7,2.56,2025_this_team
Dallen Bentley,176648,TE,UTAH,13,10.8,10,63.2,26.7,4,15,1,0.0,0,0.28,31,328,1,91.9,44.9,76.9,63.5,83.1,55.5,201,1,45,13.0,47,362,3,50.1,48,82.9,300,30.4,110,109.5,76,6,11.9,43,620,257,5.4,12.9,2.07,2025_this_team
JJ Buchanan,204415,WR,UTAH,13,15.4,3,53.1,47.4,9,19,0,3.7,1,0.3,18,328,0,78.4,71.2,64.2,21.6,65.3,1.7,5,2,60,1.0,3,297,3,51.8,26,93.3,277,58.2,173,99.6,49,5,39.7,118,427,133,5.1,16.4,1.54,2025_this_team
Larry Simmons,163666,WR,UTAH,13,17.3,0,51.7,62.5,5,8,0,6.3,1,0.25,13,328,0,69.9,69.9,66.8,61.9,67.3,0.0,0,0,48,0.6,1,180,1,50.0,15,93.9,169,22.8,41,125.0,29,6,77.2,139,280,20,1.3,18.7,1.66,2025_this_team
Tobias Merriweather,156980,WR,UTAH,7,18.6,2,36.4,33.3,1,3,0,20.0,2,0.28,5,328,0,30.0,67.5,53.5,,57.1,0.0,0,1,36,0.0,0,113,2,52.9,8,92.0,104,11.5,13,34.3,22,0,88.5,100,110,31,3.9,13.8,1.06,2025_this_team
Creed Whittemore,172560,WR,UTAH,5,9.6,3,70.6,50.0,1,2,0,7.7,1,0.17,6,328,0,67.8,68.7,70.2,,70.4,0.0,0,0,11,0.0,0,56,0,38.9,12,96.4,54,23.2,13,103.1,17,1,75.0,42,92,36,3.0,7.7,1.7,2025_this_team
Hunter Andrews,183855,TE,UTAH,4,0.0,1,100.0,100.0,2,2,0,0.0,0,0.32,4,328,0,80.9,74.8,85.1,75.9,83.5,50.0,19,0,14,28.9,11,38,0,59.5,10,71.1,27,23.7,9,93.8,10,0,2.6,1,65,65,6.5,6.5,2.41,2025_this_team
Ricky Johnson,191200,WR,MISS STATE,13,7.3,1,50.0,0.0,0,1,0,25.0,1,0.04,1,227,0,39.5,66.0,51.8,,51.1,0.0,0,0,12,0.0,0,62,0,33.9,3,90.3,56,48.4,30,56.3,6,0,50.0,31,17,14,4.7,5.7,0.3,arrival_2025_at_MISS STATE
Will Monney,174765,TE,OKLA STATE,4,5.8,0,60.0,0.0,0,1,0,0.0,0,-0.47,3,262,0,73.1,64.1,55.0,70.6,64.4,35.1,13,0,23,13.5,5,37,0,38.9,3,86.5,32,54.1,20,84.6,5,0,2.7,1,39,19,6.3,13.0,1.22,arrival_2025_at_OKLA STATE
Otto Tia,146224,TE,UTAH,8,6.0,0,100.0,,0,0,0,0.0,0,0.15,1,328,0,70.7,62.9,56.2,11.1,59.3,42.1,8,0,32,0.0,0,19,0,52.6,2,100.0,19,31.6,6,118.8,2,0,26.3,5,38,26,13.0,19.0,2.0,2025_this_team
Semi Taulanga,204411,TE,UTAH,8,-3.5,2,100.0,,0,0,0,0.0,0,0.44,1,328,0,70.7,62.9,58.7,44.3,69.6,67.9,19,0,10,82.1,23,28,1,55.6,2,17.9,5,10.7,3,79.2,2,0,3.6,1,3,10,5.0,1.5,0.6,2025_this_team
Rayshawn Glover,188297,WR,UTAH,1,6.0,0,0.0,,0,0,0,,0,-2.39,0,328,0,,79.0,57.9,,59.4,0.0,0,0,0,0.0,0,1,0,0.0,0,100.0,1,100.0,1,39.6,1,0,0.0,0,0,0,,,0.0,2025_this_team
Nate Johnson,158489,WR,UTAH,9,-2.0,0,100.0,,0,0,0,0.0,0,0.53,1,328,0,66.7,38.7,73.8,61.1,56.3,0.0,0,0,16,3.4,1,29,0,71.4,1,93.1,27,31.0,9,118.8,1,0,65.5,19,16,18,18.0,16.0,0.59,2025_this_team
