player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Dylan Tucker,138424,CB,UTAH ST,10,6,0,62.9,0,0,329,0,0,69.8,71.5,84.2,56.1,75.4,89.1,0,0,0,1,39,4.9,2,1,2,91.1,22,0,0,70,507,329,599,2,0,0,2,0,5,597,6,264,15,9,33,3,35,0,2,248,46,11.3,2025_this_team
Noah Avinger,146141,S,UTAH ST,12,17,1,50.8,0,1,329,1,0,86.7,78.4,87.4,57.5,54.3,58.1,1,2,0,3,66,17.9,17,6,0,69.5,33,1,0,295,349,494,897,17,0,0,17,0,138,880,15,388,97,21,61,3,65,4,4,371,92,11.2,2025_this_team
Ike Larsen,146222,S,UTAH ST,8,8,2,59.3,0,0,329,0,0,67.1,69.4,0.0,83.3,73.4,52.4,0,2,0,1,43,16.4,11,2,2,85.0,16,0,0,226,4,335,559,8,0,0,8,0,215,551,5,219,104,17,48,3,27,2,2,157,73,9.8,2025_this_team
Kye Stokes,156487,CB,CINCINNATI,3,0,0,100.0,0,0,138,0,0,52.2,57.5,72.1,,66.1,28.1,0,0,0,0,10,50.0,1,0,0,108.3,1,0,0,4,13,4,18,1,0,0,1,0,0,17,0,14,0,1,1,0,1,0,0,10,7,10.0,arrival_2025_at_CINCINNATI
Bryson Taylor,163360,S,UTAH ST,11,7,0,66.7,0,0,329,0,0,65.2,67.8,88.3,73.2,70.0,54.2,1,1,0,0,41,18.4,7,3,1,98.3,30,0,0,108,68,313,513,34,0,0,34,0,46,479,13,187,256,10,24,2,45,2,2,279,101,9.3,2025_this_team
Brevin Hamblin,173004,S,UTAH ST,13,28,1,64.4,0,1,329,1,0,56.7,62.9,61.7,80.4,66.9,62.5,0,4,1,1,43,16.5,20,6,3,93.8,38,2,0,460,7,508,944,36,0,0,36,0,284,908,25,411,156,22,73,1,59,6,2,478,238,12.6,2025_this_team
Chapman Lewis,173640,S,TEXAS TECH,3,0,0,0.0,0,0,315,0,0,47.7,42.2,67.3,,60.0,,0,0,0,0,,,0,0,0,39.6,0,0,0,4,0,2,6,0,0,0,0,0,1,6,0,4,0,0,0,0,1,0,0,0,0,,arrival_2025_at_TEXAS TECH
Marcus McKenzie,175036,CB,BYU,3,0,0,100.0,0,0,128,0,0,42.6,41.7,70.6,,60.0,73.5,0,0,0,0,29,0.0,0,0,0,158.3,2,0,0,0,8,6,8,0,0,0,0,0,0,8,0,2,0,0,1,0,2,0,1,43,9,21.5,arrival_2025_at_BYU
Titan Saxton,176471,S,UTAH ST,5,1,0,,0,0,329,0,0,66.8,63.1,74.4,59.9,56.2,49.6,0,0,0,0,,25.0,1,0,0,0.0,0,0,0,13,0,14,32,1,0,0,1,0,12,31,1,17,5,0,2,0,0,0,0,0,0,,2025_this_team
Noah Flores,176473,CB,UTAH ST,11,4,0,54.8,0,0,329,0,0,71.2,71.4,84.0,49.6,71.1,62.6,0,1,0,1,46,17.9,5,2,0,90.7,17,0,0,39,315,185,375,14,0,0,14,0,1,361,6,184,5,3,19,0,31,1,2,259,80,15.2,2025_this_team
Bobby Arnold,184644,S,UTAH ST,10,3,0,63.2,1,0,329,0,0,66.7,65.7,84.4,50.4,63.8,52.5,0,0,0,0,53,12.0,3,1,1,131.1,12,0,0,30,1,138,190,12,0,0,12,0,31,178,9,43,116,8,19,1,19,0,3,168,54,14.0,2025_this_team
Courage Ugochukwu,184921,CB,UTAH ST,2,0,0,66.7,0,0,329,0,0,54.8,54.9,80.0,52.8,59.1,27.9,0,0,0,0,72,57.1,4,0,0,143.3,6,0,0,9,111,69,126,3,0,0,3,0,0,123,3,54,3,1,3,0,9,0,1,105,43,17.5,2025_this_team
Markie Grant,184952,CB,WYOMING,12,8,0,46.2,0,0,351,0,0,65.1,64.4,16.7,,64.8,50.0,0,0,0,1,40,20.0,6,1,4,60.4,12,0,0,32,263,153,316,3,0,0,3,0,1,313,0,163,17,5,16,0,26,0,1,144,73,12.0,arrival_2025_at_WYOMING
Gio Kafentzis,191365,S,UTAH ST,3,2,0,0.0,0,0,329,0,0,67.2,64.5,77.0,,57.9,42.8,0,0,0,1,,28.6,2,1,0,0.0,0,0,0,28,2,27,53,0,0,0,0,0,14,53,0,26,9,1,3,0,5,0,0,0,0,,2025_this_team
David Kabongo,193199,S,OKLA STATE,4,3,0,100.0,0,0,262,1,0,52.5,56.3,78.7,,63.4,54.0,0,0,0,0,40,21.4,3,0,0,118.8,5,0,0,61,0,57,121,0,0,0,0,0,36,121,0,64,24,1,8,0,5,0,0,99,42,19.8,arrival_2025_at_OKLA STATE
D'Angelo Mayes,197743,CB,UTAH ST,9,4,1,74.2,0,0,329,0,0,58.7,61.3,82.9,71.7,66.2,68.3,0,4,0,2,48,9.1,3,1,0,127.6,23,1,0,26,332,236,370,0,0,0,0,0,3,370,10,124,8,8,26,1,31,5,4,379,69,16.5,2025_this_team
John Shepard,200227,CB,UTAH ST,1,0,0,,0,0,329,0,0,,60.1,60.0,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,2025_this_team
Charger Doty,200240,S,UTAH ST,4,0,0,75.0,0,0,329,0,0,65.6,62.3,77.8,55.6,52.9,30.1,0,1,0,0,24,33.3,2,1,0,111.5,3,0,0,25,1,32,47,1,0,0,1,0,1,46,11,4,19,2,4,0,4,1,0,45,28,15.0,2025_this_team
