player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,_provenance
Braden Pegan,162463,WR,UTAH ST,12,14.7,4,63.8,55.0,11,20,0,3.2,2,0.12,38,329,0,85.7,75.7,73.7,,75.0,0.0,0,1,54,0.0,0,472,3,46.0,60,92.6,437,13.3,63,109.4,94,5,86.7,409,920,256,4.3,15.3,2.11,2025_this_team
Brady Boyd,127298,WR,UTAH ST,13,14.7,4,52.3,34.8,8,23,1,11.5,6,0.11,37,329,1,58.1,45.8,69.4,61.9,69.3,0.0,0,1,53,0.2,1,519,2,45.7,46,91.7,476,72.8,378,106.0,88,8,27.2,141,734,210,4.6,16.0,1.54,2025_this_team
Javon Robinson,173924,WR,GA STATE,12,5.9,18,69.9,11.1,1,9,2,6.5,4,-0.04,25,175,2,69.4,48.7,63.7,,64.9,3.8,16,1,46,0.0,0,422,3,41.4,58,94.5,399,85.5,361,101.5,83,4,10.7,45,600,405,7.0,10.3,1.5,arrival_2025_at_GA STATE
Anthony Garcia,174863,WR,UTAH ST,13,13.9,1,52.6,50.0,4,8,0,25.9,7,0.07,15,329,0,24.2,74.6,62.0,,54.9,0.4,1,1,74,0.0,0,279,2,44.3,20,87.8,245,14.3,40,90.7,38,2,83.5,233,348,80,4.0,17.4,1.42,2025_this_team
Broc Lane,128386,TE,UTAH ST,11,13.0,2,65.5,100.0,2,2,0,9.5,2,0.11,7,329,0,62.9,70.1,53.5,57.6,55.3,43.3,117,0,52,17.4,47,270,4,45.2,19,76.7,207,52.6,142,111.0,29,2,4.1,11,218,38,2.0,11.5,1.05,2025_this_team
Eli Wood,156382,WR,VIRGINIA,13,11.2,7,64.0,50.0,5,10,0,0.0,0,0.23,12,335,0,84.2,69.5,72.9,,75.7,0.0,0,1,38,0.0,0,123,0,42.2,16,94.3,116,32.5,40,99.6,25,2,67.5,83,205,69,4.3,12.8,1.77,arrival_2025_at_VIRGINIA
Kahanu Davis,174757,WR,UTAH ST,13,16.4,1,40.0,0.0,0,2,0,0.0,0,0.04,5,329,0,77.5,78.6,55.2,,55.1,0.0,0,1,45,0.0,0,164,0,42.7,6,91.5,150,13.4,22,74.3,15,1,86.6,142,160,24,4.0,26.7,1.07,2025_this_team
Josh Sterzer,128399,TE,UTAH ST,12,7.3,0,63.6,50.0,1,2,0,12.5,1,-0.03,2,329,0,56.4,67.4,48.0,65.9,42.7,65.9,176,0,18,41.6,111,267,1,41.9,7,52.1,139,31.1,83,106.6,11,1,1.9,5,56,17,2.4,8.0,0.4,2025_this_team
Ty Olsen,200229,WR,UTAH ST,1,18.7,0,33.3,,0,0,0,0.0,0,0.93,1,329,0,70.7,62.9,78.0,,75.9,0.0,0,0,14,0.0,0,6,0,40.0,1,83.3,5,0.0,0,49.3,3,0,100.0,6,14,7,7.0,14.0,2.8,2025_this_team
Kache Kaio,200243,TE,UTAH ST,11,3.7,0,66.7,,0,0,0,0.0,0,-0.3,0,329,0,70.7,62.9,50.8,48.6,49.9,55.8,29,0,6,26.9,14,52,1,28.6,2,57.7,30,32.7,17,71.5,3,0,5.8,3,10,4,2.0,5.0,0.33,2025_this_team
Nikko Boncore,200230,WR,UTAH ST,3,23.0,0,0.0,,0,0,0,,0,-0.07,0,329,0,66.7,61.0,52.3,,53.5,0.0,0,1,0,0.0,0,24,0,31.6,0,79.2,19,66.7,16,0.0,1,0,33.3,8,0,0,,,0.0,2025_this_team
LJ Johnson Jr.,205408,WR,TEXAS ST,1,13.0,0,0.0,,0,0,0,100.0,1,-0.95,0,314,0,16.4,,36.7,,45.6,0.0,0,0,0,0.0,0,1,0,0.0,0,100.0,1,100.0,1,39.6,1,0,0.0,0,0,0,,,0.0,arrival_2025_at_TEXAS ST
