player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,_provenance
Lyndon Cooper,143987,C,PITTSBURGH,13,100.0,3,268,63.6,73.5,61.7,0,12,531,100.0,100.0,98.3,10,15,3,886,886,0,0,886,566,566,0,0,320,0,arrival_2025_at_PITTSBURGH
Isaia Glass,146274,T,VANDERBILT,13,100.0,4,333,39.7,48.2,38.6,6,18,461,100.0,100.2,96.7,12,27,3,800,0,0,429,800,493,492,0,363,307,8,2025_this_team
Chase Mitchell,123886,G,VANDERBILT,13,100.0,0,333,51.9,51.1,50.0,1,15,442,100.0,100.2,98.0,3,17,1,769,0,358,0,769,471,470,411,0,298,0,2025_this_team
Cade McConnell,157498,G,VANDERBILT,13,100.0,0,333,52.2,40.8,55.9,3,14,441,100.0,100.2,97.2,4,21,4,759,74,367,0,759,470,469,318,0,289,0,2025_this_team
Bryce Henderson,141844,T,VANDERBILT,13,100.0,4,333,41.5,24.1,59.3,3,28,430,100.0,100.2,95.5,13,35,4,750,0,0,348,750,460,459,0,400,290,2,2025_this_team
Jordan White,123439,C,VANDERBILT,13,100.0,0,333,72.7,66.5,78.7,1,17,422,100.0,100.2,97.6,7,19,1,745,745,0,0,745,451,450,0,0,294,0,2025_this_team
Sterling Porcher,156590,G,VANDERBILT,8,100.0,0,333,66.5,66.9,65.9,1,2,69,100.0,100.0,97.8,0,3,0,126,0,70,0,126,73,73,56,0,53,0,2025_this_team
Gunner Givens,157641,G,VANDERBILT,7,100.0,1,333,58.8,84.1,55.8,0,0,50,100.0,100.0,100.0,2,0,0,108,0,48,0,108,55,55,60,0,53,0,2025_this_team
Orion Irving,160284,T,VANDERBILT,8,100.0,0,333,51.5,52.0,50.6,0,1,48,100.0,100.0,99.0,0,1,0,107,0,0,49,107,50,50,0,54,57,4,2025_this_team
Clinton Azubuike,184995,T,VANDERBILT,2,100.0,0,333,65.3,82.1,67.4,0,0,18,100.0,100.0,100.0,1,0,0,38,0,0,18,38,18,18,0,20,20,0,2025_this_team
Keegan Wechsler,172633,C,VANDERBILT,4,100.0,0,333,65.4,77.1,62.5,0,0,11,100.0,100.0,100.0,0,0,0,30,30,0,0,30,11,11,0,0,19,0,2025_this_team
Charlie Clark,146961,T,VANDERBILT,5,100.0,0,333,60.7,74.4,57.9,0,0,5,100.0,100.0,100.0,0,0,0,16,0,0,5,16,5,5,0,10,11,1,2025_this_team
David Siegel,157187,G,VANDERBILT,2,100.0,0,333,62.7,13.0,66.9,0,0,5,100.0,100.0,100.0,0,0,0,10,0,6,0,10,5,5,4,0,5,0,2025_this_team
Micah DeBose,198082,T,ALABAMA,1,100.0,0,103,60.0,,59.8,0,0,0,,,,0,0,0,4,0,4,0,4,0,0,0,0,4,0,arrival_2025_at_ALABAMA
