player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Antonio Clary,99757,S,VIRGINIA,11,9,0,80.0,0,0,335,0,0,73.7,68.5,0.0,59.9,61.1,83.0,1,0,0,2,19,6.9,2,1,1,60.4,8,0,0,129,0,137,265,1,0,0,1,0,104,264,1,127,31,5,18,0,10,1,0,80,38,10.0,2025_this_team
Kenan Johnson,99761,CB,VIRGINIA,1,0,0,,0,0,335,0,0,61.9,50.1,68.8,,49.2,21.4,0,0,0,0,,100.0,1,0,0,0.0,0,0,0,0,5,2,5,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,,2025_this_team
Devin Neal,122278,S,VIRGINIA,14,29,0,60.0,0,0,335,0,0,81.9,88.0,88.0,78.8,87.0,90.2,0,5,0,0,32,6.0,6,6,1,108.3,15,1,0,199,3,251,566,32,0,0,32,0,257,534,13,302,75,27,65,2,25,6,3,100,19,6.7,2025_this_team
Jalen McNair,130415,S,BUFFALO,12,11,0,50.0,1,0,126,2,0,62.2,66.5,0.0,59.4,78.3,75.1,1,1,0,2,60,10.7,6,4,2,81.3,13,0,0,168,1,287,543,17,0,0,17,0,290,526,10,246,67,17,39,3,26,2,3,194,63,14.9,arrival_2025_at_BUFFALO
Christian Charles,146944,S,VIRGINIA,13,13,0,64.3,0,0,335,0,0,86.5,78.9,84.7,72.8,53.8,65.6,3,0,0,0,16,16.3,8,5,0,74.1,9,0,0,142,2,210,335,11,0,0,11,0,135,324,11,114,45,9,28,1,14,3,0,62,19,6.9,2025_this_team
Robbie Engelberg,156378,S,VIRGINIA,2,1,0,,0,0,335,0,0,74.5,71.3,75.6,,57.3,79.7,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,7,0,22,32,0,0,0,0,0,22,32,0,10,3,0,2,0,0,0,0,0,0,,2025_this_team
Jacobie Henderson,156809,CB,RUTGERS,12,2,1,54.9,1,1,278,0,0,58.9,59.7,48.7,83.1,59.2,75.7,0,2,0,0,78,9.1,4,2,5,120.4,28,0,0,28,503,318,600,45,0,0,45,0,1,555,4,278,23,13,38,3,51,2,6,408,122,14.6,arrival_2025_at_RUTGERS
Christian Ellis,157236,S,VA TECH,4,1,0,20.0,0,0,337,0,0,66.4,64.1,78.7,59.6,58.7,54.5,0,0,0,0,21,20.0,2,3,0,44.6,1,0,0,45,0,42,94,0,0,0,0,0,33,94,1,51,16,4,7,1,5,0,0,21,11,21.0,arrival_2025_at_VA TECH
Donavon Platt,163211,CB,VIRGINIA,13,4,0,60.0,0,0,335,1,1,64.4,69.4,85.5,68.1,84.5,73.4,0,1,0,1,79,9.8,4,3,0,104.0,30,0,0,46,499,307,576,21,0,0,21,0,4,555,3,266,6,14,33,1,50,1,3,483,208,16.1,2025_this_team
Jordan Robinson,163791,CB,VIRGINIA,13,8,0,71.8,1,0,335,0,0,58.4,61.6,35.8,59.4,77.4,63.1,0,0,0,0,57,13.5,5,4,2,134.5,28,0,0,29,421,250,477,16,0,0,16,0,2,461,1,226,9,10,24,3,39,0,4,359,113,12.8,2025_this_team
