player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Kervins Choute,123739,DI,UCONN,12,6,0,,0,0,146,0,0,58.3,58.1,82.4,60.7,56.5,54.4,1,3,0,0,,15.8,3,0,0,0.0,0,0,0,0,0,2,213,213,72,130,0,11,0,0,110,101,0,8,10,1,0,4,0,0,0,,arrival_2025_at_UCONN
Jahmeer Carter,123770,DI,VIRGINIA,14,6,0,,0,0,335,0,0,61.7,78.3,82.4,64.5,80.6,62.3,1,6,0,0,,11.1,2,0,0,0.0,0,0,0,0,0,0,251,251,32,214,0,5,0,0,114,137,0,8,10,1,0,7,0,0,0,,2025_this_team
Darrion Henry-Young,129748,ED,COAST CAR,13,5,0,,0,0,141,0,0,61.6,63.7,81.5,63.7,58.0,80.3,1,2,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,134,134,0,3,109,22,0,0,69,65,0,4,6,1,0,3,0,0,0,,arrival_2025_at_COAST CAR
Mitchell Melton,129753,ED,VIRGINIA,14,8,1,0.0,1,3,335,1,0,90.7,85.8,60.4,80.4,77.9,51.3,7,40,0,1,,25.0,13,1,2,0.0,0,6,0,4,0,26,610,605,0,4,583,18,0,5,304,280,0,32,31,7,2,53,0,0,0,,2025_this_team
Daniel Rickert,138135,ED,VIRGINIA,14,8,1,100.0,0,1,335,0,0,68.2,74.1,88.2,77.1,62.6,65.9,13,23,0,0,18,18.8,6,0,0,109.4,4,6,0,18,1,49,506,484,0,3,473,8,0,22,259,198,2,20,18,4,4,42,0,41,5,10.3,2025_this_team
Zion Wilson,151063,DI,E CAROLINA,13,9,2,,0,1,156,0,0,59.6,74.4,86.1,68.9,74.2,61.5,5,18,0,0,,18.4,7,0,0,0.0,0,6,0,3,0,2,458,454,234,201,6,13,0,4,272,184,0,21,22,4,0,29,0,0,0,,arrival_2025_at_E CAROLINA
Trey McDonald,156384,ED,VIRGINIA,3,0,0,100.0,0,0,335,0,0,63.8,56.5,75.2,56.3,54.8,73.0,0,0,0,0,2,0.0,0,0,0,79.2,1,0,0,2,0,4,14,11,0,0,11,0,0,3,6,4,1,0,1,0,1,0,0,2,8,2.0,2025_this_team
Terrell Jones,156391,DI,VIRGINIA,3,0,0,,0,1,335,0,0,,79.8,77.2,60.9,86.6,74.3,1,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,47,47,8,36,0,3,0,0,29,18,0,4,4,1,0,2,0,0,0,,2025_this_team
Fisher Camac,158132,ED,VIRGINIA,14,5,4,,0,1,335,1,0,63.9,80.6,86.2,69.6,82.5,62.5,4,9,0,0,,11.6,5,0,0,0.0,0,5,0,0,0,4,428,428,0,13,374,41,0,0,200,224,0,31,33,0,0,18,0,0,0,,2025_this_team
Cazeem Moore,159108,ED,VIRGINIA,14,4,1,,0,0,335,0,0,59.1,59.5,51.6,61.9,57.5,60.2,3,10,0,0,,17.6,3,0,1,0.0,0,3,0,1,0,1,256,255,5,93,117,40,0,1,163,92,0,7,10,0,0,16,0,0,0,,2025_this_team
Jacob Holmes,163401,DI,VIRGINIA,14,9,0,,0,0,335,0,0,61.6,69.7,63.1,66.4,69.6,51.6,6,18,0,0,,16.7,6,0,1,0.0,0,3,0,0,0,1,432,431,27,337,12,55,0,1,268,163,0,19,21,3,0,27,0,0,0,,2025_this_team
Matthew Fobbs-White,169977,ED,BAYLOR,12,9,0,100.0,0,0,118,0,0,59.0,68.3,43.6,72.2,65.0,55.8,3,29,0,0,5,22.6,7,0,2,83.3,2,1,0,1,0,29,387,386,0,8,364,14,0,1,197,161,0,14,15,1,2,33,0,8,4,4.0,arrival_2025_at_BAYLOR
Gabe Sneed,170138,ED,VIRGINIA,1,0,0,,0,0,335,0,0,,64.2,70.3,63.6,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,5,5,0,0,4,1,0,0,5,0,0,0,0,0,0,0,0,0,0,,2025_this_team
Hunter Osborne,172391,DI,VIRGINIA,14,5,0,,0,0,335,0,0,60.0,61.9,52.3,58.5,63.9,61.9,0,3,0,0,,12.5,2,0,1,0.0,0,1,0,0,0,0,271,271,23,226,4,18,0,0,121,150,0,7,9,1,0,4,0,0,0,,2025_this_team
Jonathan Allen,173322,DI,UAB,12,12,0,,0,0,321,0,0,60.0,62.4,60.7,62.5,61.7,53.2,1,10,0,0,,17.1,7,0,1,0.0,0,3,0,0,0,0,390,390,8,350,2,30,0,0,156,234,0,15,22,0,0,14,0,0,0,,arrival_2025_at_UAB
Nnanna Anyanwu,174086,ED,UTSA,11,3,0,85.7,0,0,331,0,0,50.5,63.4,25.8,73.3,63.5,71.8,3,13,0,0,31,15.0,3,0,2,105.4,6,5,0,8,5,51,278,247,0,1,246,0,0,31,117,110,18,17,14,1,7,21,0,65,65,10.8,arrival_2025_at_UTSA
Anthony Britton,175427,DI,VIRGINIA,14,13,0,,0,2,335,0,0,64.6,69.4,46.3,69.9,65.0,45.9,4,6,0,0,,17.4,4,0,1,0.0,0,1,0,0,0,0,227,227,26,193,0,8,0,0,102,125,0,6,6,0,0,11,0,0,0,,2025_this_team
Mekhi Buchanan,175428,ED,VIRGINIA,1,0,1,,0,0,335,0,0,,66.2,70.8,65.6,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,5,5,0,0,5,0,0,0,4,1,0,0,0,0,0,0,0,0,0,,2025_this_team
Jason Hammond,175434,DI,VIRGINIA,14,10,0,,0,1,335,0,0,60.0,66.7,83.5,61.6,67.2,51.6,1,14,0,0,,20.0,7,0,0,0.0,0,3,0,0,0,1,360,359,16,314,5,24,0,1,182,177,0,12,18,1,0,18,0,0,0,,2025_this_team
Jewett Hayes,183288,ED,VIRGINIA,4,0,0,0.0,0,0,335,0,0,60.0,73.2,76.7,67.4,70.6,74.4,2,2,0,0,,0.0,0,0,0,39.6,0,0,0,0,0,1,28,28,0,0,28,0,0,0,15,12,0,2,2,0,1,4,0,0,0,,2025_this_team
