player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,_provenance
Noah Josey,126259,G,VIRGINIA,14,100.0,1,335,66.8,78.4,62.7,1,10,509,100.0,100.0,98.9,4,11,0,983,0,980,0,983,529,529,0,0,454,3,2025_this_team
Drake Metcalf,131773,G,VIRGINIA,14,100.0,0,335,64.6,70.2,65.1,2,15,485,100.0,100.0,98.0,7,18,1,911,235,0,0,911,503,503,676,0,408,0,2025_this_team
Jack Witmer,151103,T,VIRGINIA,14,100.0,2,335,50.7,58.8,49.5,6,30,478,100.0,100.0,95.8,9,38,2,906,0,0,0,906,497,497,0,888,409,17,2025_this_team
McKale Boley,156387,T,VIRGINIA,14,99.9,0,335,72.0,70.2,69.2,4,10,440,99.8,99.8,98.0,1,16,2,854,0,0,832,855,456,457,0,0,398,23,2025_this_team
Brady Wilson,121508,C,VIRGINIA,11,100.0,1,335,71.1,74.5,71.7,2,10,401,100.0,100.0,98.3,5,13,1,759,759,0,0,759,418,418,0,0,341,0,2025_this_team
Ben York,183295,T,VIRGINIA,11,100.0,1,335,65.8,37.9,75.7,6,3,122,100.0,100.0,94.7,2,11,2,262,0,0,163,262,126,126,0,79,136,20,2025_this_team
Kevin Wigenton II,144952,G,VIRGINIA,7,100.0,0,335,62.7,50.7,65.7,1,8,131,100.0,100.0,96.6,3,9,0,254,0,58,0,254,134,134,195,0,120,1,2025_this_team
Ethan Sipe,148837,G,VIRGINIA,12,100.0,1,335,66.1,39.0,71.0,0,0,58,100.0,100.0,100.0,2,0,0,172,0,0,0,172,61,61,140,24,111,7,2025_this_team
Noah Hartsoe,156377,C,VIRGINIA,9,100.0,0,335,70.7,84.1,65.7,0,0,25,100.0,100.0,100.0,0,0,0,65,56,0,0,65,25,25,0,0,40,6,2025_this_team
Jon Adair,200280,T,VIRGINIA,5,100.0,0,335,79.7,84.3,75.1,0,0,17,100.0,100.0,100.0,0,0,0,51,0,0,43,51,17,17,0,0,34,8,2025_this_team
Grant Ellinger,183286,G,VIRGINIA,7,100.0,0,335,66.9,80.3,63.8,0,0,13,100.0,100.0,100.0,0,0,0,45,17,5,1,45,13,13,17,3,32,1,2025_this_team
Tyshawn Wyatt,138471,T,VIRGINIA,3,100.0,0,335,52.4,0.0,62.3,1,1,11,100.0,100.0,90.9,0,2,0,28,0,0,0,28,11,11,11,15,17,2,2025_this_team
Cole Surber,175442,G,VIRGINIA,3,100.0,0,335,59.6,50.4,59.5,0,1,6,100.0,100.0,91.7,0,1,0,23,0,10,0,23,6,6,13,0,17,0,2025_this_team
Dane Wleklinski,183294,T,VIRGINIA,5,100.0,0,335,50.0,66.9,50.0,0,0,1,100.0,100.0,100.0,0,0,0,23,0,0,2,23,1,1,0,21,22,0,2025_this_team
Wallace Unamba,169929,T,VIRGINIA,1,100.0,0,335,29.9,0.0,39.7,1,1,8,100.0,100.0,87.5,0,2,0,20,0,0,0,20,8,8,0,19,12,1,2025_this_team
Dane Steele,170139,G,VIRGINIA,3,100.0,0,335,51.4,68.0,51.0,0,0,1,100.0,100.0,100.0,0,0,0,12,0,7,0,12,1,1,5,0,11,0,2025_this_team
Ryan Brubaker,158104,C,S CAROLINA,1,100.0,0,289,58.0,73.7,56.7,0,0,3,100.0,100.0,100.0,0,0,0,11,0,11,0,11,4,4,0,0,7,0,arrival_2025_at_S CAROLINA
Grayson Reid,200269,G,VIRGINIA,2,100.0,0,335,52.2,7.5,53.7,0,0,1,100.0,100.0,100.0,0,0,0,11,0,1,0,11,1,1,10,0,10,0,2025_this_team
Jim Harris Jr.,200277,T,VIRGINIA,1,100.0,0,335,60.0,,60.0,0,0,0,,,,0,0,0,3,0,0,3,3,0,0,0,0,3,0,2025_this_team
Will Rosen,200275,G,VIRGINIA,1,100.0,0,335,60.0,,60.0,0,0,0,,,,0,0,0,3,0,3,0,3,0,0,0,0,3,0,2025_this_team
Alex Payne,199410,T,USC,1,100.0,0,326,60.0,,60.0,0,0,0,,,,0,0,0,1,0,0,0,1,0,0,0,1,1,0,arrival_2025_at_USC
