player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts,_provenance
J'Mari Taylor,150482,HB,VIRGINIA,13,222,55,11,33.9,361,0,1064,5,16,55,753,90.9,21,61,335,1,46,79.7,76.1,60.3,74.4,45.9,58.4,80.3,58.3,78,1,251,43,276,252,0,0,54,265,14,1064,753,3.39,4.8,0.91,172,2025_this_team
Jekail Middlebrook,170487,HB,MIDDLE TN,11,140,35,9,35.9,269,0,748,2,5,35,575,91.3,20,40,224,2,46,75.3,79.1,28.8,,59.8,64.4,86.0,88.7,72,2,412,40,331,166,0,0,60,180,4,750,575,4.11,5.4,1.24,91,arrival_2025_at_MIDDLE TN
Harrison Waylee,130584,HB,VIRGINIA,13,118,16,6,34.8,193,0,554,2,1,16,417,47.3,16,32,335,1,28,76.7,67.8,85.3,,68.8,51.2,69.9,44.7,97,0,39,9,92,127,0,0,14,127,6,554,417,3.53,4.7,0.42,88,2025_this_team
Peyton Lewis,184885,HB,TENNESSEE,10,71,6,1,11.0,32,0,291,2,0,6,186,21.0,4,19,307,0,37,85.1,76.0,80.7,,47.2,42.9,80.3,58.3,32,0,42,4,52,79,0,0,9,75,7,291,186,2.62,4.1,0.81,34,arrival_2025_at_TENNESSEE
Solomon Beebe,190756,HB,UAB,12,56,18,4,39.6,134,0,338,3,13,18,305,194.1,9,18,321,1,19,55.9,77.3,84.7,,66.0,73.9,77.9,62.6,81,0,284,31,152,103,0,0,38,87,6,338,305,5.45,6.0,1.87,37,arrival_2025_at_UAB
Xavier Brown,156371,HB,VIRGINIA,7,51,5,1,8.3,20,0,241,1,0,5,142,24.9,7,16,335,0,9,82.4,72.9,81.4,,26.9,55.3,76.1,58.2,20,0,36,5,50,56,0,0,9,56,1,241,142,2.78,4.7,0.72,42,2025_this_team
Noah Vaughn,175443,HB,VIRGINIA,4,23,5,2,42.5,74,0,174,1,0,5,113,106.8,4,7,335,0,3,77.5,75.3,76.4,,72.7,31.9,77.5,59.1,54,0,0,0,7,26,0,0,1,23,0,174,113,4.91,7.6,0.0,20,2025_this_team
Xay Davis,200274,HB,VIRGINIA,4,23,3,0,0.0,0,0,86,0,0,3,54,30.6,0,5,335,0,3,77.5,76.9,75.6,,,56.3,74.4,60.0,8,0,0,0,4,28,0,0,0,23,0,86,54,2.35,3.7,0.0,19,2025_this_team
Davis Lane,156393,HB,VIRGINIA,5,9,0,0,0.0,0,0,39,0,0,0,21,0.0,1,2,335,0,2,72.5,63.5,75.4,,75.4,54.3,64.6,59.8,11,0,0,0,12,13,0,0,0,9,0,39,21,2.33,4.3,0.0,7,2025_this_team
Owen Gardner,200288,HB,VIRGINIA,3,2,0,0,0.0,0,0,4,0,0,0,2,0.0,0,0,335,0,0,65.5,55.8,70.4,,,,57.0,60.0,3,0,0,0,0,5,0,0,0,2,0,4,2,1.0,2.0,,2,2025_this_team
