player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Will Johnson,144083,LB,VA TECH,2,0,0,,0,0,337,0,0,60.3,65.8,69.9,60.0,65.6,73.6,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,6,0,2,7,1,0,0,1,0,0,6,1,4,0,0,1,0,0,1,0,0,0,,2025_this_team
Jaden Keller,144086,LB,VA TECH,11,8,0,88.9,0,1,337,0,0,48.5,54.4,82.5,60.5,59.4,45.7,0,2,0,0,20,20.0,13,1,0,100.0,24,1,0,369,0,184,399,7,0,0,7,0,0,392,19,196,23,23,44,2,27,3,0,216,205,9.0,2025_this_team
Keon Wylie,164193,LB,PENN STATE,12,6,0,50.0,0,0,266,0,0,50.1,62.9,85.3,59.9,73.7,58.9,3,5,0,0,14,16.7,5,1,0,65.1,4,1,0,99,1,84,215,85,0,0,85,0,0,130,27,104,28,13,19,2,8,9,0,41,28,10.3,arrival_2025_at_PENN STATE
Kaleb Spencer,170093,LB,VA TECH,12,18,0,78.3,0,0,337,0,0,40.1,58.4,34.0,63.1,76.2,53.3,0,5,0,0,62,18.8,15,1,1,117.8,18,1,0,303,0,179,373,16,0,0,16,0,3,357,31,163,51,28,47,9,23,6,0,282,219,15.7,2025_this_team
Michael Short,170110,LB,VA TECH,4,3,0,75.0,0,0,337,0,0,41.4,58.0,77.8,62.1,71.4,51.2,1,2,0,0,23,20.0,5,1,0,108.9,6,1,0,109,0,45,114,4,0,0,4,0,0,110,6,63,1,10,17,2,8,4,0,85,48,14.2,2025_this_team
George Ballance,174775,LB,VA TECH,4,4,0,66.7,0,0,337,0,0,68.0,61.0,75.1,,55.0,84.1,0,0,0,0,12,0.0,0,1,0,84.0,2,0,0,42,0,13,43,0,0,0,0,0,0,43,0,30,1,1,6,0,3,0,0,19,15,9.5,2025_this_team
Caleb Woodson,174805,LB,VA TECH,9,17,1,81.3,0,0,337,0,0,53.7,60.1,35.7,74.4,62.5,69.9,0,2,0,0,32,10.1,7,0,1,139.1,13,0,0,325,0,151,378,18,0,0,18,0,0,360,27,200,35,24,45,3,16,2,2,126,114,9.7,2025_this_team
Darius Taylor,175823,LB,VA TECH,1,0,0,,0,0,337,0,0,60.0,62.0,66.1,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,2,0,1,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,,2025_this_team
Gabe Williams,184941,LB,VA TECH,1,0,0,,0,0,337,0,0,60.0,72.5,66.0,,66.8,73.2,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,1,0,1,2,0,0,0,0,0,0,2,0,1,1,1,1,0,0,0,0,0,0,,2025_this_team
Noah Chambers,205500,LB,VA TECH,8,10,1,72.2,0,0,337,0,0,57.7,53.5,20.5,61.5,51.9,72.0,1,4,0,0,16,11.6,5,1,1,119.0,13,1,0,276,0,133,283,5,0,0,5,0,0,278,23,127,2,15,28,0,18,6,2,85,43,6.5,2025_this_team
