player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Zach Lohavichan,144196,DI,WAKE,13,6,2,,0,1,339,0,0,60.4,61.5,48.0,63.5,60.4,25.7,2,13,0,0,,37.1,13,0,2,0.0,0,0,0,1,0,0,461,459,238,213,0,8,0,2,242,219,0,13,16,4,0,15,0,0,0,,2025_this_team
BJ Williams,144214,ED,WAKE,9,1,0,,0,0,339,0,0,65.6,74.8,79.7,66.6,70.3,56.9,2,1,0,0,,25.0,1,0,0,0.0,0,0,0,0,0,0,71,71,0,1,48,22,0,0,39,32,0,2,2,0,0,3,0,0,0,,2025_this_team
Langston Hardy,147407,ED,WAKE,13,18,0,82.4,0,0,339,1,0,69.0,75.2,77.6,72.6,72.7,66.4,9,21,0,0,43,16.1,10,0,1,121.3,14,8,0,14,0,89,668,632,0,1,629,2,0,36,308,271,21,37,34,7,17,38,1,143,114,10.2,2025_this_team
Jayden Loving,150856,DI,WAKE,13,11,1,,0,0,339,3,0,84.7,75.1,30.9,57.8,82.9,62.9,3,18,0,0,,11.4,5,0,3,0.0,0,2,0,0,0,0,482,482,177,247,4,54,0,0,261,221,0,26,28,7,0,23,0,0,0,,2025_this_team
Nuer Gatkuoth,157215,ED,WAKE,12,4,0,85.7,1,1,339,0,0,76.5,72.0,68.4,75.4,59.3,38.4,6,21,0,1,13,30.0,9,0,1,42.0,6,6,0,7,0,41,426,417,0,3,401,13,0,9,206,179,1,19,17,1,7,33,0,25,15,4.2,2025_this_team
Gabe Kirschke,158699,ED,WAKE,13,7,0,0.0,0,2,339,1,0,69.8,64.2,51.6,66.3,59.7,56.1,2,19,0,0,,18.9,7,0,2,39.6,0,4,0,1,0,8,499,498,0,20,368,110,0,1,270,221,0,21,23,5,1,25,0,0,0,,2025_this_team
Brandon Smiley,159973,DI,WAKE,3,2,0,,0,0,339,0,0,60.0,51.7,73.5,55.0,52.2,72.2,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,19,19,4,12,0,3,0,0,13,6,0,0,0,0,0,0,0,0,0,,2025_this_team
Mateen Ibirogba,162142,DI,WAKE,12,6,0,,1,1,339,0,0,68.6,77.3,60.8,78.4,68.8,53.4,2,21,0,0,,12.5,3,0,1,0.0,0,3,0,2,0,0,395,393,15,286,14,78,0,2,237,158,0,13,15,3,0,26,0,0,0,,2025_this_team
Brandon Hoyle,170393,DI,WAKE,1,0,0,,0,0,339,0,0,,61.7,69.4,59.7,60.7,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,4,4,3,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,,2025_this_team
Dallas Afalava,175070,DI,WAKE,13,4,1,,1,1,339,0,0,62.5,59.9,48.6,66.1,53.7,35.5,5,23,0,1,,31.0,9,0,2,0.0,0,5,0,3,0,0,522,518,3,311,52,152,0,4,290,232,0,13,16,3,0,33,0,0,0,,2025_this_team
Ka'Shawn Thomas,176053,DI,WAKE,3,0,0,,0,0,339,0,0,,54.3,73.3,61.5,51.8,,0,1,0,0,,,0,0,0,0.0,0,0,0,0,0,0,18,18,4,13,0,1,0,0,9,9,0,0,0,0,0,1,0,0,0,,2025_this_team
Kerrington Lee,176058,ED,WAKE,3,0,0,,0,0,339,0,0,60.5,48.7,76.3,62.0,43.9,31.8,0,1,0,0,,50.0,1,0,0,0.0,0,0,0,0,0,2,25,25,0,0,21,4,0,0,8,15,0,0,1,0,0,1,0,0,0,,2025_this_team
Tyler Walton,176059,ED,WAKE,13,6,1,,0,0,339,0,0,68.1,68.7,83.3,62.4,67.6,81.7,2,6,0,0,,0.0,0,0,0,0.0,0,0,0,1,0,0,187,186,0,4,131,51,0,1,99,88,0,4,7,0,0,8,0,0,0,,2025_this_team
Camden Hardy,183386,ED,WAKE,5,0,0,,0,0,339,0,0,60.0,63.1,78.4,69.3,52.4,,0,2,0,0,,,0,0,0,0.0,0,0,0,0,0,1,39,39,0,0,39,0,0,0,22,16,0,0,0,0,0,2,0,0,0,,2025_this_team
Josiah Pratt,199499,DI,WAKE,1,0,0,,0,0,339,0,0,,54.9,72.4,64.1,51.7,,1,1,0,0,,,0,0,0,0.0,0,0,0,0,0,0,13,13,4,9,0,0,0,0,9,4,0,0,0,0,0,2,0,0,0,,2025_this_team
Kadear Dembele,199505,DI,WAKE,4,1,0,,0,0,339,0,0,,62.7,0.0,59.5,69.2,75.7,1,1,0,0,,0.0,0,0,1,0.0,0,0,0,0,0,0,60,60,0,43,1,16,0,0,35,25,0,3,4,0,0,2,0,0,0,,2025_this_team
