player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Makell Esteen,131892,S,WASHINGTON,12,7,0,68.2,0,0,340,0,0,64.3,65.0,88.8,63.9,63.8,63.3,1,2,0,2,28,16.7,10,1,0,67.2,15,1,0,150,8,388,658,31,0,0,31,0,397,627,11,259,69,10,43,0,22,4,1,164,65,10.9,2025_this_team
Tacario Davis,158719,CB,WASHINGTON,7,2,0,53.6,1,0,340,0,0,65.0,67.2,27.6,57.1,81.8,79.4,0,1,0,2,34,5.0,1,4,6,50.6,15,0,0,10,368,238,421,1,0,0,1,0,3,420,8,175,37,5,17,1,28,1,1,146,49,9.7,2025_this_team
Ephesians Prysock,158740,CB,WASHINGTON,13,10,0,57.5,0,0,340,0,0,76.5,77.9,54.6,58.8,82.9,76.1,0,0,0,1,36,10.0,6,5,7,87.2,42,0,0,47,674,478,810,4,0,0,4,0,14,806,6,326,69,14,44,1,73,0,5,351,122,8.4,2025_this_team
Tristan Warner,162502,S,WASHINGTON,2,0,0,0.0,0,0,340,0,0,53.0,53.4,68.0,,60.0,73.1,0,0,0,0,,0.0,0,0,0,39.6,0,0,0,7,1,8,9,0,0,0,0,0,1,9,0,1,0,0,1,0,1,0,0,0,0,,2025_this_team
Alex McLaughlin,170717,S,WASHINGTON,13,19,0,63.3,1,0,340,1,1,71.3,70.7,31.4,44.9,76.2,86.1,0,3,1,2,31,8.5,9,6,2,80.9,31,0,0,353,20,489,842,27,0,0,27,0,284,815,19,334,156,38,78,4,49,3,2,347,173,11.2,2025_this_team
Emmanuel Karnley,171856,CB,VIRGINIA,14,3,0,50.0,0,0,335,0,0,71.5,71.6,85.7,59.1,66.2,47.6,0,0,0,1,33,22.9,8,4,0,74.7,26,0,0,23,623,367,657,1,0,0,1,0,3,656,1,289,7,7,24,2,52,0,2,326,100,12.5,arrival_2025_at_VIRGINIA
Leroy Bryant,171915,CB,WASHINGTON,11,2,0,72.7,0,0,340,0,0,51.2,52.8,84.5,,61.6,53.2,0,0,0,2,48,21.1,4,0,1,108.9,24,0,0,19,75,179,259,0,0,0,0,0,14,259,0,80,149,6,13,0,33,0,3,326,168,13.6,2025_this_team
Vincent Holmes,171926,S,WASHINGTON,7,0,0,100.0,0,0,340,0,0,69.8,66.0,0.0,56.8,64.6,80.2,0,0,0,0,3,0.0,0,0,1,79.2,1,0,0,28,0,48,100,6,0,0,6,0,18,94,3,49,46,2,4,0,1,0,0,3,1,3.0,2025_this_team
Rahshawn Clark,183634,CB,WASHINGTON,12,4,0,59.3,0,1,340,0,0,73.6,74.7,87.0,69.0,71.5,79.3,2,4,0,2,28,4.8,1,2,2,61.0,16,1,0,36,16,244,387,2,0,0,2,0,59,385,13,130,272,8,16,0,27,7,1,182,76,11.4,2025_this_team
Elias Johnson,183640,CB,WASHINGTON,2,0,0,66.7,0,0,340,0,0,41.6,42.3,70.2,,60.6,73.5,0,0,0,0,25,0.0,0,0,0,109.7,2,0,0,3,9,7,12,0,0,0,0,0,0,12,0,5,0,0,1,0,3,0,0,41,12,20.5,2025_this_team
Paul Mencke Jr.,183643,S,WASHINGTON,2,0,0,,0,0,340,0,0,62.4,65.5,68.7,64.7,,,1,0,0,0,,,0,0,0,0.0,0,0,0,2,0,4,7,0,0,0,0,0,2,7,3,0,2,0,0,0,0,1,0,0,0,,2025_this_team
Kayden Greene,189730,S,WASHINGTON,1,0,0,,0,0,340,0,0,36.7,38.5,70.3,,60.2,,0,0,0,0,,,0,0,0,0.0,0,0,0,5,1,7,10,0,0,0,0,0,1,10,0,3,3,0,0,0,0,0,0,0,0,,2025_this_team
Rylon Dillard-Allen,199507,S,WASHINGTON,13,10,0,71.4,0,0,340,0,0,76.9,71.6,85.5,74.4,55.1,80.4,1,1,0,0,18,8.3,4,2,0,92.9,10,0,0,118,2,206,377,7,0,0,7,0,209,370,2,169,39,10,34,2,14,2,0,105,48,10.5,2025_this_team
D'Aryhian Clemons,199521,CB,WASHINGTON,2,0,0,100.0,0,0,340,0,0,53.5,55.1,71.4,,60.8,76.2,0,0,0,0,20,0.0,0,0,0,118.8,1,0,0,2,2,5,13,0,0,0,0,0,5,13,0,8,4,0,1,0,1,0,0,20,6,20.0,2025_this_team
Dylan Robinson,199528,CB,WASHINGTON,9,3,0,69.2,0,1,340,1,0,63.9,67.9,23.4,64.0,90.5,66.9,0,0,0,0,64,14.3,3,0,2,112.8,18,1,0,13,337,233,371,0,0,0,0,0,5,371,4,134,14,6,15,1,26,1,1,251,137,13.9,2025_this_team
Ramonz Adams Jr.,199532,CB,WASHINGTON,3,0,0,0.0,0,0,340,0,0,59.7,60.4,74.3,,61.6,,0,0,0,0,,,0,0,0,39.6,0,0,0,1,24,16,27,0,0,0,0,0,0,27,0,11,2,0,0,0,1,0,0,0,0,,2025_this_team
