player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Jalil Tucker,86578,CB,OREGON ST,11,3,0,58.7,1,0,265,0,0,55.1,56.8,84.2,63.7,62.1,54.3,1,0,0,1,61,21.2,7,2,5,113.0,27,0,0,41,449,270,506,1,0,0,1,0,1,505,6,230,13,4,23,0,46,1,4,464,151,17.2,arrival_2025_at_OREGON ST
Caleb Francl,138302,S,WASH STATE,13,26,1,79.5,0,2,341,1,0,69.0,71.4,86.6,75.2,68.2,42.4,5,8,0,2,25,23.2,26,1,0,94.1,35,2,0,233,7,308,708,35,0,0,35,0,6,673,58,342,427,32,60,3,44,15,2,330,173,9.4,2025_this_team
Cale Reeder,138314,S,WASH STATE,9,10,0,87.5,0,1,341,0,0,62.8,59.3,4.7,59.2,55.9,47.4,0,0,0,0,30,25.0,12,0,1,113.0,7,0,0,146,6,190,337,1,0,0,1,0,157,336,1,146,27,11,26,0,8,0,0,89,17,12.7,2025_this_team
Colby Humphrey,141638,CB,WASH STATE,12,14,0,70.0,0,1,341,0,0,77.4,78.0,85.7,52.4,76.1,70.9,0,0,0,2,29,12.9,8,1,3,68.8,28,0,0,31,524,316,602,6,0,0,6,0,2,596,2,284,39,18,40,1,40,0,1,200,43,7.1,2025_this_team
Matthew Durrance,148240,S,WASH STATE,13,15,0,61.5,0,1,341,0,0,69.9,70.3,86.9,60.0,68.4,73.3,0,0,0,1,68,11.5,7,1,1,113.0,8,0,0,192,7,256,464,1,0,0,1,0,246,463,1,207,17,10,39,2,13,0,3,167,79,20.9,2025_this_team
Tucker Large,148243,S,WASH STATE,13,15,0,55.9,0,0,341,0,0,86.5,81.4,2.7,58.6,69.7,71.6,0,0,0,0,25,12.5,11,4,3,99.3,19,0,0,173,7,356,650,1,0,0,1,0,341,649,1,293,128,20,62,3,34,0,3,173,60,9.1,2025_this_team
AJ Davis,158262,CB,WASH STATE,3,1,0,100.0,0,0,341,0,0,46.9,49.8,73.2,,64.2,76.2,0,0,0,0,9,0.0,0,0,0,95.8,2,0,0,1,18,9,20,0,0,0,0,0,1,20,0,11,0,0,1,0,2,0,0,14,11,7.0,2025_this_team
Kai Rapolla,158920,CB,WASH STATE,5,1,0,100.0,0,0,341,0,0,66.2,64.8,0.0,60.0,71.6,53.6,0,0,0,0,5,20.0,1,0,1,87.5,2,0,0,6,32,35,44,0,0,0,0,0,0,44,1,8,5,1,3,0,2,0,0,10,5,5.0,2025_this_team
Duhron Goodman,159058,S,WASH STATE,8,2,0,50.0,0,0,341,0,0,50.8,50.0,77.6,,51.9,60.7,0,0,0,0,35,16.7,1,0,0,135.4,1,0,0,9,0,25,44,1,0,0,1,0,20,43,0,19,14,0,3,0,2,0,1,35,7,35.0,2025_this_team
Khamari Terrell,163306,CB,TEXAS ST,12,5,0,61.5,0,0,314,0,0,61.8,64.3,45.7,59.7,75.7,77.0,0,1,0,1,44,6.7,3,2,3,99.2,24,0,0,65,508,321,606,11,0,0,11,0,11,595,5,280,10,12,37,2,39,1,3,289,127,12.0,arrival_2025_at_TEXAS ST
Jamorri Colson,174155,CB,WASH STATE,13,5,0,44.8,1,0,341,0,0,71.7,71.9,84.8,58.1,68.8,45.5,0,0,0,0,37,26.7,8,2,4,52.2,13,0,0,23,458,270,514,3,0,0,3,0,1,511,1,243,29,7,17,1,29,0,0,89,53,6.8,2025_this_team
Jack Bal,176522,S,ARIZONA ST,3,2,0,100.0,0,0,110,0,0,65.7,62.1,72.3,,55.9,47.2,0,0,0,0,3,25.0,1,0,0,79.2,1,0,0,18,0,14,27,0,0,0,0,0,7,27,0,13,2,0,1,0,1,0,0,3,1,3.0,arrival_2025_at_ARIZONA ST
Kenny Worthy,184225,CB,WASH STATE,12,7,0,51.9,0,0,341,0,0,68.0,69.0,84.2,76.2,64.8,50.7,0,0,0,0,59,21.4,6,1,2,109.8,14,0,0,19,303,223,384,10,0,0,10,0,0,374,4,157,51,8,15,1,27,0,3,178,76,12.7,2025_this_team
