player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,_provenance
Joshua Meredith,146507,WR,WASH STATE,13,9.9,7,64.0,64.3,9,14,0,5.0,3,-0.02,33,341,0,79.4,74.7,72.5,,76.0,0.0,0,4,48,0.0,0,385,3,40.3,57,94.0,362,61.0,235,81.8,89,3,38.4,148,723,239,4.2,12.7,2.0,2025_this_team
Tony Freeman,184219,WR,WASH STATE,13,7.6,11,73.0,41.7,5,12,0,3.6,2,-0.01,31,341,1,77.9,70.6,76.0,64.5,77.4,2.4,7,2,48,0.3,1,294,2,39.6,54,94.9,279,79.9,235,98.4,74,3,17.3,51,590,311,5.8,10.9,2.11,2025_this_team
Jeremiah Noga,146338,WR,WASH STATE,13,11.6,1,60.6,80.0,4,5,0,0.0,0,-0.06,11,341,0,86.3,70.7,56.8,34.7,57.8,0.0,0,2,35,0.4,1,280,0,38.3,20,93.9,263,8.6,24,65.3,33,1,91.4,256,221,22,1.1,11.1,0.84,2025_this_team
Trey Leckner,176682,TE,WASH STATE,13,5.3,3,72.7,50.0,1,2,1,4.0,1,-0.05,11,341,1,77.2,28.1,57.6,56.6,69.2,73.6,148,2,32,23.4,47,201,9,42.6,24,71.6,144,17.4,35,91.2,33,3,4.5,9,186,110,4.6,7.8,1.29,2025_this_team
Carter Pabst,205532,WR,WASH STATE,9,21.3,1,47.4,50.0,5,10,0,0.0,0,0.01,6,341,0,80.1,67.5,65.1,,65.3,0.0,0,1,43,0.0,0,107,0,44.1,9,95.3,102,17.8,19,74.0,19,1,81.3,87,168,40,4.4,18.7,1.65,2025_this_team
Jack Pedersen,162462,TE,UCLA,11,6.5,0,61.1,0.0,0,2,0,8.3,1,-0.14,4,324,0,66.1,26.6,45.9,58.4,50.1,67.1,100,0,15,20.1,30,149,2,47.2,11,77.2,115,23.5,35,70.1,18,0,8.7,13,74,45,4.1,6.7,0.64,arrival_2025_at_UCLA
Leon Neal Jr.,146496,WR,WASH STATE,13,6.7,0,86.7,50.0,1,2,0,0.0,0,0.14,5,341,0,82.7,68.7,67.3,,68.2,1.1,1,1,18,0.0,0,89,0,40.5,13,94.4,84,58.4,52,91.7,15,1,40.4,36,110,44,3.4,8.5,1.31,2025_this_team
Branden Ganashamoorthy,176674,WR,WASH STATE,13,10.8,0,55.6,50.0,1,2,0,16.7,1,-0.12,3,341,0,49.8,65.7,52.2,49.9,52.3,0.0,0,0,19,0.0,0,128,0,42.6,5,95.3,122,7.0,9,67.8,9,0,93.0,119,42,11,2.2,8.4,0.34,2025_this_team
Landon Wright,190387,WR,WASH STATE,10,18.3,0,87.5,,0,0,0,0.0,0,0.31,4,341,0,41.6,67.1,60.8,,61.8,0.0,0,0,39,0.0,0,59,1,42.3,7,88.1,52,11.9,7,158.3,8,2,88.1,52,121,13,1.9,17.3,2.33,2025_this_team
Daniel Blood,175899,WR,MISSOURI,12,10.0,0,62.5,0.0,0,1,0,0.0,0,-0.22,4,229,0,76.3,65.7,64.8,61.1,62.5,1.7,1,2,26,1.7,1,59,0,34.5,5,91.5,54,81.4,48,41.1,8,0,15.3,9,51,25,5.0,10.2,0.94,arrival_2025_at_MISSOURI
Mackenzie Alleyne,190362,WR,WASH STATE,9,17.9,0,57.1,,0,0,0,0.0,0,0.35,4,341,0,74.9,65.0,64.6,64.4,65.0,0.0,0,0,41,2.0,1,49,0,52.1,4,95.9,47,42.9,21,132.1,7,1,57.1,28,72,24,6.0,18.0,1.53,2025_this_team
Ademola Faleye,150393,TE,WASH STATE,13,7.3,0,57.1,,0,0,0,20.0,1,0.1,2,341,0,45.4,65.0,57.6,74.4,49.0,89.6,155,1,10,60.7,105,173,5,47.2,4,37.0,64,7.5,13,63.4,7,1,2.3,4,23,10,2.5,5.8,0.36,2025_this_team
Devin Ellison,141790,WR,WASH STATE,2,26.2,0,50.0,0.0,0,1,0,0.0,0,0.45,3,341,0,73.1,64.1,79.4,,77.4,0.0,0,0,26,0.0,0,14,0,61.5,3,92.9,13,50.0,7,119.4,6,1,50.0,7,52,3,1.0,17.3,4.0,2025_this_team
Leyton Smithson,158525,WR,WASH STATE,7,15.6,0,40.0,,0,0,0,0.0,0,-0.15,1,341,0,70.7,71.3,46.3,,47.5,0.0,0,1,7,0.0,0,56,0,34.0,2,94.6,53,7.1,4,8.3,5,0,92.9,52,9,4,2.0,4.5,0.17,2025_this_team
Tank Hawkins,184424,WR,FLORIDA,4,12.3,0,66.7,,0,0,0,0.0,0,-0.28,1,163,0,70.7,62.9,56.4,,58.6,0.0,0,0,14,0.0,0,22,0,33.3,2,95.5,21,59.1,13,79.9,3,0,40.9,9,16,4,2.0,8.0,0.76,arrival_2025_at_FLORIDA
Beau Baker,192023,TE,WASH STATE,12,3.5,0,50.0,0.0,0,1,0,0.0,0,0.25,1,341,0,66.7,61.0,56.6,71.5,62.1,90.2,37,0,12,61.0,25,41,0,43.6,1,36.6,15,9.8,4,108.3,2,1,0.0,0,12,7,7.0,12.0,0.8,2025_this_team
Hudson Cedarland,157347,TE,WASH STATE,8,6.5,0,100.0,,0,0,0,0.0,0,0.29,1,341,0,70.7,62.9,64.5,63.9,65.8,82.6,19,0,4,56.5,13,23,0,68.2,2,43.5,10,13.0,3,118.8,2,1,4.3,1,5,0,0.0,2.5,0.5,2025_this_team
Luke Leighton,176683,TE,WASH STATE,7,22.0,0,0.0,,0,0,0,,0,0.27,0,341,0,,,51.9,67.8,49.8,81.3,13,1,0,18.8,3,16,0,50.0,0,81.3,13,6.3,1,0.0,1,0,12.5,2,0,0,,,0.0,2025_this_team
