unit,pos,depth,player,class,origin,note
QB,QB,1,Michael Hawkins Jr.,SO,Oklahoma transfer,"Athlon QB1: 'hand-picked'; started as OU true FR in '24 ('struggled in a tough spot' - P6); PFF 74.1/34; 'the mobile QB Rich Rod covets' (PS)"
QB,QB,2,Scotty Fox Jr.,SO,RETURNING (finished '25 as starter),"first WVU true-FR starter since 1952: 1,276 (59%, 7-6) + 201 rush; beat #22 Houston + Colorado (27 car/123/2 in the wins); 301 vs TCU; PFF 55.0/196; Athlon bold QB2. RichRod: 'deepest QB room he has ever had' (attributed). DEPARTED: Marchiol (69.9/120) -> NW, Henderson -> Liberty, Wilkins -> Marshall"
RB,RB,1,Cam Cook,SR,Jacksonville State transfer,"D1 RUSHING CHAMP: 1,659 + 16 TD @ 5.6; 2nd-tm AA (PS); PFF 85.9; 'the workhorse'"
RB,RB,2,Amari Latimer / Martavious Boswell,FR / JR,4* FR signee + JUCO transfer,"Latimer PS#22 FR = RB2 (Athlon). Boswell 1,109 @ 9.5 JC. + FB Luke (Arizona), Cheeks (PS#41 FR). DEPARTED: top four - White (74.0; OFY wk 2) -> NT, Edwards, Hubbard (71.4; 335) -> Wyoming, Bowers -> UConn"
WRTE,WR,1,Jaden Bray,SR,RETURNING (yr4 medical return - documented),"'clear #1 receiver to build around' (P6); early '25 season-ending injury (no tape row); Athlon May WR1 BOLD"
WRTE,WR,2,DJ Epps / Prince Strachan / TaRon Francis / John Neider,SR / JR / FR / JR,Troy + USC + LSU + UConn transfers,"Epps slot starter (68.2/14gm) + KR/PR. Strachan: Boise success, buried at USC. Francis Top200 '25. Neider 69.3/13gm. DEPARTED: top 3 - Vaughn (66.7) -> Miami, Weimer (65.7) grad, Gallagher (58.6) -> Arizona"
WRTE,TE,1,Ryan Ward,JR,returner,"assumes the job (57.5/12gm); 6'7 Ball (MissSt) + Sapp (Clemson) = P4 backups; more 12 personnel planned (RichRod). DEPARTED: top two TEs graduated"
OL,G,1,Nick Krahe,JR,RETURNING,"HM All-B12; PFF 63.5/860"
OL,C,1,Landen Livingston,SR,RETURNING,"PFF 64.7/754; Athlon lists him LG2/C-capable; C battle w/ Griffin (JSU)"
OL,OL,1,Amare Grayson / Carsten Casady / Wes King / Devin Vass,JR / JR / SR / JR,Jacksonville State + UConn + Wyoming + Kansas State transfers,"Grayson 1st-tm CUSA (68.5/1008). Casady 72.1/774 - best incoming tape. King 66.2/683. Vass started KSU's final 7 (55.3/420) [cross-ref]. 91-120 combined career starts arriving"
OL,T,2,Malik Agbo / Kevin Brown,SR / FR,retained backup + Top100 FR signee,"Agbo (57.2/182) + Aisosa retained - 'experienced depth, potentially win spots' (P6). Brown = 'instant starter at RT' framing (P6). RICK TRICKETT hired (53rd season). DEPARTED: 5 OL (3 starters incl. Crawford 62.4/705, Makane'ole 44.4/694, Young Bear 53.2/566 expired). '25: #121 Run Push / #120 Pass Pro, 9% sack rate"
DL,NT,1,Nate Gabriel,SO,returner,"'new projected nose' (P6): 300 snaps (64.1/287)"
DL,ED,1,Harper Holloman,JR,Western Kentucky transfer,"all-league (CUSA 3rd-tm per PS): 5.5 TFL; PFF 70.7/805 - 'could be a major disruptor' (Athlon)"
DL,ED,1,Ezekiel Durham-Campbell,SR,Coastal Carolina transfer,"3rd-tm SBC: 5 sk (PS); P6 'Zeke Campbell... all-league'"
DL,DL,2,KJ Henson / Tobi Haastrup / David Afogho / Will LeBlanc,JR / SO / JR / SR,JUCO + Oregon + Bowling Green + UTPB transfers,"Henson JUCO All-American (JUCO signee class w/ PS#3/31/33/69). Haastrup Top250 '25 (Oregon). Afogho BG starter (66.1/481). DEPARTED: 7 DL (48 st) - ALL FOUR STARTERS: All-B12 Vesterinen (71.6/553) grad + top six trench players (Siders 67.8/462, Grant 68.2/403, Kelly 62.5/393 expired; Redwood -> USF, Russell -> Wisc, Jones -> VT). 'Upgraded room despite the loss' (P6) vs 'size up front could be a concern' (PS)"
LB,LB,1,Ben Cutter,SR,returner (rises),"PFF 68.7/311; 2 st, 39 tkl '25"
LB,LB,1,Tyler Stolsky,SR,Florida Atlantic transfer,"FAU starter: PFF 64.1/540; battles Hood (Illinois; 54.6/366) for the other spot; + Patterson (UNLV), J.Hall (Villanova) among 7 LB-corps adds ('6 with 39+ tkl seasons' - PS). DEPARTED: all 3 starters (#1/#3/#4 tklrs) - Carrico (62.6/520, team-high 4.5 sk) grad, C.Wilson (57.6/523) grad, NB Perry (64.9/572, #1 tklr) grad; Bogle (73.4/255) -> Arkansas"
DB,S,1,Kamari Wilson,SR,Memphis transfer,"PFF 74.2/801 - the best incoming DB tape"
DB,S,1,Kameron Reddic,JR,Stephen F. Austin transfer,"SFA starter; + Powdrell (UNLV; 60.1/738) + Bradford (LSU, PS#100) + Top100 FR Sieg (wildcard). DEPARTED: EVERY safety (D.Lewis, Tarnue, Fileppo -> PSU, Boyce -> USF, Cross -> NT)"
DB,CB,1,Geimere Latimer II,SR,Wisconsin transfer (NB),"Wisconsin starter at nickel; PFF 59.8/422"
DB,CB,1,Jaire Rawlinson / Chams Diagne / Nick Taylor / Keyshawn Robinson,SO / SR / JR / SO,Kent State + Georgia State transfers + returners (backups up),"Rawlinson (Kent St starter). Diagne 59.6/346. Taylor + Robinson = '25 backups moving up (P6). DEPARTED: top 3 corners (Coats 73.2/520, Chambers 62.6/641, Scruggs 66.1/486 expired). '25 pass D: #66/68 P4 opp-adj; PDR #123 - two straight all-new secondaries; 'more length' (RichRod)"
ST,K,1,Jack Cassidy,SR,Western Kentucky transfer,"FBS experience; battle w/ Notaro (Alabama). DEPARTED: K (10-12, L50) -> Troy"
ST,P,1,Bryan Hansen,SR,Colorado State transfer,"44.1 net (PS: '!') - the marquee ST add. KR/PR Epps. DEPARTED: P (38.9 net) -> Akron + both returners. '25 #116 STR / SPEC 61st pctile; 'decent rise with better team depth' (PS)"
