player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Dave Herard,123779,S,W KENTUCKY,13,17,0,58.1,0,1,346,0,0,72.5,73.6,44.0,63.9,76.2,79.1,1,2,0,0,35,10.1,7,3,1,97.1,18,0,0,288,4,339,569,5,0,0,5,0,196,564,7,223,73,17,45,3,31,3,2,187,69,10.4,2025_this_team
Jalen Emery,144247,CB,W KENTUCKY,12,2,0,60.9,0,0,346,0,0,68.9,70.8,86.3,79.3,64.8,56.2,1,1,0,0,36,26.7,4,2,0,75.3,14,2,0,56,5,199,300,10,0,0,10,0,10,290,12,89,219,5,9,1,23,4,0,124,55,8.9,2025_this_team
Demarko Williams,146825,CB,W KENTUCKY,7,3,0,50.0,0,0,346,0,0,66.0,65.2,87.2,74.1,54.4,49.2,1,2,0,0,71,28.0,7,1,2,88.5,12,0,0,26,4,178,301,16,0,0,16,0,6,285,9,114,249,7,15,0,24,3,1,178,118,14.8,2025_this_team
Dylan Flowers,147839,CB,W KENTUCKY,13,4,0,53.6,0,1,346,1,1,76.9,76.6,22.3,59.2,73.9,58.2,0,0,0,0,41,16.2,6,5,4,82.9,15,0,0,18,341,218,369,1,0,0,1,0,0,368,1,150,9,12,27,1,28,0,1,163,51,10.9,2025_this_team
Avarion Cole,150570,S,W KENTUCKY,11,4,0,33.3,0,0,346,0,0,67.5,70.4,82.4,,73.9,69.9,0,1,0,1,68,13.0,3,2,0,38.2,4,0,0,130,1,158,267,3,0,0,3,0,104,264,0,109,29,4,16,0,12,1,0,124,74,31.0,2025_this_team
Al-Ma'hi Ali,154696,S,W KENTUCKY,9,5,0,53.6,1,0,346,0,0,52.9,48.0,83.0,57.0,33.8,50.0,0,2,0,1,52,22.5,9,2,2,75.6,15,0,0,163,3,217,334,7,0,0,7,0,84,327,2,115,77,8,26,1,28,2,1,214,137,14.3,2025_this_team
Jaylen Lewis,157018,S,W KENTUCKY,13,11,0,59.3,0,0,346,1,0,89.5,81.0,56.6,58.8,60.7,62.8,0,0,0,3,25,14.9,13,3,1,44.8,16,0,0,473,3,475,805,14,0,0,14,0,187,791,2,328,125,29,63,4,27,0,1,133,81,8.3,2025_this_team
Kent Robinson,158669,CB,W KENTUCKY,11,4,0,53.8,0,0,346,0,0,67.0,65.8,0.0,63.3,65.2,47.0,0,2,0,0,32,21.9,7,3,3,78.0,14,0,0,23,398,260,444,3,0,0,3,0,1,441,5,179,17,5,21,0,26,2,0,194,42,13.9,2025_this_team
Virgil Marshall,163049,S,W KENTUCKY,1,0,0,,0,0,346,0,0,61.0,61.2,68.8,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,1,0,2,5,0,0,0,0,0,4,5,0,3,0,0,0,0,0,0,0,0,0,,2025_this_team
Jai Eugene Jr.,169976,S,W KENTUCKY,12,2,0,62.5,0,0,346,0,0,62.3,61.3,84.5,67.9,53.5,57.1,0,0,0,0,44,21.1,4,3,0,97.4,15,1,0,95,2,196,302,4,0,0,4,0,40,298,5,101,159,6,13,1,24,1,1,169,88,11.3,2025_this_team
Nazir Ward,173447,CB,W KENTUCKY,13,13,0,60.4,0,0,346,0,0,66.7,65.0,86.2,64.0,50.9,49.9,0,1,0,1,36,22.2,12,5,8,78.5,29,1,0,47,691,444,772,5,0,0,5,0,1,767,8,320,26,8,29,2,48,2,1,320,91,11.0,2025_this_team
Braxton Myers,174966,CB,W KENTUCKY,3,0,0,25.0,0,0,346,0,0,74.1,74.5,74.1,,65.1,38.3,0,0,0,0,12,33.3,1,1,0,39.6,1,0,0,1,26,17,28,0,0,0,0,0,0,28,0,11,0,1,2,0,4,0,0,12,0,12.0,2025_this_team
Jaavan Mack,184268,CB,W KENTUCKY,12,7,0,51.7,1,1,346,0,0,66.2,68.4,15.6,39.7,84.9,71.6,0,0,0,1,30,6.7,2,2,3,74.8,15,0,0,24,276,178,309,2,0,0,2,0,0,307,0,131,5,8,21,2,29,0,2,146,32,9.7,2025_this_team
Xavion Griffin,188741,CB,W KENTUCKY,1,0,0,,0,0,346,0,0,61.3,76.8,69.7,,76.1,74.8,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,1,0,2,5,0,0,0,0,0,0,5,0,3,4,1,1,0,0,0,0,0,0,,2025_this_team
Lataj Wright,188756,CB,W KENTUCKY,4,0,0,0.0,0,0,346,0,0,76.9,72.8,75.7,,48.4,28.3,0,0,0,0,,50.0,1,1,0,39.6,0,0,0,2,47,31,49,0,0,0,0,0,0,49,0,18,0,1,1,0,3,0,0,0,0,,2025_this_team
Jacob Cosby-Mosley,190944,S,WAKE,1,0,0,,0,0,339,0,0,60.6,60.3,66.0,,,,0,0,0,0,,,0,0,0,0.0,0,0,0,1,0,2,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,,arrival_2025_at_WAKE
