player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Jayden Gray,144555,ED,W KENTUCKY,13,3,0,,0,0,346,0,0,57.5,54.1,46.7,57.0,55.2,63.3,1,8,0,0,,10.5,2,0,1,0.0,0,1,0,0,0,1,216,215,0,30,125,60,0,1,117,98,1,11,14,3,0,10,0,0,0,,2025_this_team
Dominic Oliver,146147,ED,W KENTUCKY,13,2,0,42.9,0,0,346,0,0,53.4,67.6,88.3,65.1,72.1,74.1,0,8,0,0,29,11.8,2,0,0,64.0,3,3,0,17,1,30,277,244,0,0,240,4,0,33,151,96,15,15,13,1,7,11,0,44,26,14.7,2025_this_team
Jaden Hardy,150904,DI,W KENTUCKY,12,5,0,,0,0,346,0,0,80.8,71.7,84.7,56.6,74.9,81.2,0,5,0,0,,0.0,0,1,0,0.0,0,0,0,0,0,0,345,345,174,169,0,2,0,0,173,172,0,12,15,1,0,5,0,0,0,,2025_this_team
Elin Jones,155656,ED,W KENTUCKY,9,7,1,,0,0,346,2,0,60.5,61.3,83.5,61.4,58.1,69.3,2,12,0,0,,9.5,2,0,0,0.0,0,0,0,1,0,1,286,284,1,93,112,78,0,2,187,98,0,10,12,1,0,14,0,0,0,,2025_this_team
Kiawan Murphy,156887,DI,AKRON,12,3,1,,0,0,102,0,0,,63.3,59.4,59.6,64.7,44.6,1,4,0,0,,18.8,3,0,2,0.0,0,0,0,2,0,0,333,330,120,167,4,39,0,3,129,204,0,9,10,0,0,5,0,0,0,,arrival_2025_at_AKRON
Robby Harrison,157195,DI,W KENTUCKY,12,7,0,,0,0,346,0,0,60.0,68.5,46.7,62.6,70.9,73.0,2,3,0,0,,5.3,1,0,1,0.0,0,1,0,0,0,0,204,204,106,96,0,2,0,0,101,103,0,10,11,1,0,6,0,0,0,,2025_this_team
Rylen Su'a-Filo,161397,DI,W KENTUCKY,13,15,2,,0,0,346,0,0,66.4,67.7,29.9,56.0,76.3,76.5,1,6,0,0,,2.7,1,0,3,0.0,0,0,0,0,0,1,474,471,109,288,10,64,0,3,249,224,0,13,21,3,0,7,0,0,0,,2025_this_team
Venson Sneed,162783,ED,W KENTUCKY,13,3,2,,0,0,346,0,0,58.9,57.3,62.8,60.5,55.0,65.3,3,11,0,0,,6.7,1,0,1,0.0,0,0,0,1,0,4,389,386,1,112,190,83,0,3,209,176,1,7,11,1,0,14,0,0,0,,2025_this_team
Jakeem Fletcher,163993,DI,W KENTUCKY,11,1,0,,0,0,346,0,0,61.8,63.7,80.7,51.4,70.0,77.6,0,3,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,204,204,1,159,3,41,0,0,114,90,0,7,8,0,0,3,0,0,0,,2025_this_team
Mackavelli Malotumau,165722,DI,W KENTUCKY,13,9,0,,0,0,346,0,0,53.9,62.3,52.9,60.1,67.4,45.4,5,23,0,0,,18.5,5,0,2,0.0,0,1,0,1,0,5,570,567,53,443,15,56,0,3,355,210,0,14,13,4,0,29,0,0,0,,2025_this_team
Koron Hayward,173436,ED,W KENTUCKY,12,3,1,62.5,0,0,346,0,0,56.2,64.0,58.8,70.1,61.5,36.1,4,9,1,1,33,30.0,6,0,2,53.1,5,3,0,62,0,67,347,253,0,9,242,2,0,94,126,154,29,11,11,1,8,16,0,74,56,14.8,2025_this_team
Harper Holloman,184000,ED,W KENTUCKY,13,7,2,69.2,0,0,346,0,0,38.7,70.7,80.7,83.4,65.5,36.4,7,40,0,1,20,25.5,14,0,2,50.5,9,1,0,33,0,97,805,736,0,6,705,25,0,69,383,325,33,23,34,4,13,48,0,71,16,7.9,2025_this_team
Zsacari Minnis,188749,ED,W KENTUCKY,1,0,0,,0,0,346,0,0,,56.0,73.8,64.8,55.5,,0,1,0,0,,,0,0,0,0.0,0,0,0,0,0,0,9,9,0,0,9,0,0,0,5,4,0,0,0,0,0,1,0,0,0,,2025_this_team
Chukwunedu Okeke,188750,DI,W KENTUCKY,1,0,0,,0,0,346,0,0,,66.8,71.5,65.1,62.9,28.0,0,1,0,0,,50.0,1,0,0,0.0,0,0,0,0,0,0,10,10,2,8,0,0,0,0,6,4,0,1,1,0,0,1,0,0,0,,2025_this_team
Eric Etienne,191791,DI,W KENTUCKY,3,0,0,,0,0,346,0,0,,59.4,0.0,61.9,68.4,69.7,0,0,0,0,,0.0,0,0,1,0.0,0,0,0,0,0,0,16,16,2,10,1,3,0,0,8,8,0,0,1,0,0,0,0,0,0,,2025_this_team
Sekou Peters,199553,DI,W KENTUCKY,3,0,0,,0,0,346,0,0,,60.6,74.7,56.3,62.9,69.7,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,26,26,8,16,1,1,0,0,14,12,0,1,1,0,0,0,0,0,0,,2025_this_team
