player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Jori Benson,122053,DI,W MICHIGAN,3,1,0,,0,0,347,1,0,,56.1,74.1,64.4,51.7,66.5,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,19,19,2,17,0,0,0,0,10,9,0,0,0,0,0,1,0,0,0,,2025_this_team
Kershawn Fisher,122670,ED,W MICHIGAN,14,6,2,100.0,0,0,347,2,1,42.3,61.0,55.8,63.9,65.7,38.3,2,16,0,0,15,27.3,9,0,3,111.7,5,4,0,28,0,48,540,511,0,2,506,3,0,29,279,213,1,14,18,4,5,22,0,54,33,10.8,2025_this_team
Rodney McGraw,145101,ED,W MICHIGAN,14,11,1,100.0,0,3,347,2,0,56.3,71.8,54.2,70.8,71.8,72.2,8,25,0,0,21,15.0,6,0,2,158.3,1,7,0,6,0,14,529,523,12,83,373,55,0,6,287,228,0,25,23,2,1,40,1,21,26,21.0,2025_this_team
Tyson Lee,145943,ED,W MICHIGAN,14,4,0,0.0,0,0,347,0,0,63.2,58.7,86.4,62.3,49.7,60.1,1,10,0,0,,13.3,2,0,0,39.6,0,4,0,2,0,10,277,275,3,42,195,35,0,2,167,100,0,10,9,0,1,15,0,0,0,,2025_this_team
Mustafi Al-Garawi,149883,DI,W MICHIGAN,14,11,0,,0,0,347,0,0,56.6,53.6,26.5,66.8,50.1,38.8,4,6,0,0,,17.2,5,0,3,0.0,0,0,0,1,0,0,451,450,40,401,0,9,0,1,222,229,0,9,13,1,0,10,0,0,0,,2025_this_team
Nadame Tucker,156169,ED,W MICHIGAN,13,10,0,0.0,0,4,347,0,0,67.8,91.4,28.2,93.3,72.6,62.6,6,41,0,0,,18.0,9,1,4,39.6,0,14,0,7,1,13,579,571,0,2,566,3,0,8,316,250,0,37,31,6,2,61,0,0,0,,2025_this_team
Popeye Williams,156317,ED,W MICHIGAN,7,1,0,,0,0,347,0,0,82.3,59.1,79.7,55.7,46.4,46.7,0,2,0,0,,33.3,1,0,0,0.0,0,0,0,1,0,1,44,43,0,0,43,0,0,1,22,21,0,1,1,0,0,2,0,0,0,,2025_this_team
Race Stewart,156417,DI,W MICHIGAN,14,6,0,,0,0,347,0,0,61.9,68.9,81.4,60.0,69.9,70.1,1,1,0,0,,6.3,1,0,0,0.0,0,2,0,0,0,0,239,239,5,233,0,1,0,0,106,133,0,8,9,1,0,4,0,0,0,,2025_this_team
DeJuan Echoles Jr.,156900,ED,BALL ST,11,10,3,100.0,0,2,117,0,0,50.2,78.2,56.5,89.7,68.8,51.5,2,9,0,0,20,23.1,6,0,1,118.8,4,4,0,35,0,32,288,250,0,1,248,1,0,38,139,117,3,12,10,2,4,15,0,53,41,13.3,arrival_2025_at_BALL ST
August Johanningsmeier,158150,DI,W MICHIGAN,2,1,0,,0,0,347,0,0,,51.8,75.6,54.6,52.4,74.8,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,45,45,3,38,1,3,0,0,23,22,0,1,3,0,0,0,0,0,0,,2025_this_team
