player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,_provenance
Tailique Williams,123867,WR,W MICHIGAN,14,9.6,17,60.3,16.7,1,6,0,2.8,1,-0.16,15,347,0,83.1,76.4,67.3,,67.2,0.0,0,2,71,0.0,0,238,0,38.8,35,94.1,224,85.3,203,83.8,58,2,13.4,32,478,257,7.3,13.7,2.13,2025_this_team
Aveion Chenault,205552,WR,W MICHIGAN,14,14.8,1,51.1,50.0,4,8,0,8.0,2,-0.17,17,347,0,68.4,72.6,64.2,,63.9,0.4,1,3,45,0.0,0,259,1,38.0,23,93.4,242,12.4,32,57.2,45,2,87.3,226,275,79,3.4,12.0,1.14,2025_this_team
Baylin Brooks,175749,WR,W MICHIGAN,14,13.0,4,75.0,44.4,4,9,2,6.9,2,-0.03,18,347,0,70.1,71.6,67.2,,67.4,0.0,0,0,42,0.0,0,260,2,43.1,27,94.6,246,15.4,40,107.6,36,0,83.8,218,372,96,3.6,13.8,1.51,2025_this_team
Blake Bosma,145938,TE,W MICHIGAN,14,5.5,1,78.8,100.0,4,4,0,0.0,0,0.03,12,347,0,88.3,80.6,67.9,68.0,65.5,51.8,143,0,24,15.9,44,276,2,43.8,26,79.0,218,37.7,104,107.7,33,1,7.2,20,245,131,5.0,9.4,1.12,2025_this_team
Christian Leary,146589,WR,W MICHIGAN,13,2.6,5,83.3,0.0,0,1,0,0.0,0,0.02,7,347,0,83.8,74.1,71.2,,72.5,0.0,0,0,17,0.0,0,63,1,41.7,15,95.2,60,82.5,52,93.8,18,0,14.3,9,117,101,6.7,7.8,1.95,2025_this_team
Malique Dieudonne,145947,WR,W MICHIGAN,14,13.6,0,41.2,0.0,0,1,0,0.0,0,-0.02,4,347,0,78.5,66.7,57.0,61.0,58.5,0.0,0,0,52,0.9,1,107,2,45.5,7,93.5,100,8.4,9,61.4,17,0,91.6,98,102,21,3.0,14.6,1.02,2025_this_team
Michael Brescia,149295,TE,W MICHIGAN,13,4.7,0,86.7,100.0,1,1,0,0.0,0,-0.09,7,347,0,82.7,69.9,72.8,72.9,81.7,69.9,65,0,36,18.3,17,93,0,47.1,13,73.1,68,16.1,15,141.0,15,2,3.2,3,125,80,6.2,9.6,1.84,2025_this_team
Cade Conley,145709,TE,W MICHIGAN,13,8.2,0,88.9,100.0,1,1,0,0.0,0,-0.34,5,347,1,79.3,19.0,59.4,45.5,60.0,50.0,47,1,15,13.8,13,94,0,35.6,8,81.9,77,43.6,41,89.6,9,1,4.3,4,55,8,1.0,6.9,0.71,2025_this_team
Terence Marshall,190150,WR,W MICHIGAN,11,15.3,0,57.1,,0,0,0,0.0,0,-0.11,2,347,0,74.9,65.0,57.6,,58.3,0.0,0,0,28,0.0,0,58,0,40.0,4,94.8,55,10.3,6,76.5,7,0,87.9,51,45,17,4.3,11.3,0.82,2025_this_team
Mareyohn Hrabowski,145923,TE,W MICHIGAN,14,12.0,0,33.3,,0,0,0,0.0,0,-0.12,1,347,0,66.7,61.0,48.5,58.8,48.4,80.9,72,0,4,55.1,49,89,0,44.2,1,44.9,40,7.9,7,81.9,3,1,1.1,1,4,1,1.0,4.0,0.1,2025_this_team
Keivin Boone-Nelson II,200040,WR,W MICHIGAN,3,0.0,0,100.0,,0,0,0,0.0,0,-0.14,1,347,0,70.7,81.8,61.3,,66.3,0.0,0,0,5,0.0,0,9,1,33.3,2,100.0,9,55.6,5,79.2,2,0,44.4,4,0,0,0.0,0.0,0.0,2025_this_team
Adam Parks,175683,TE,NEW MEX ST,12,7.0,0,100.0,100.0,1,1,0,0.0,0,-0.09,0,242,0,66.7,61.0,55.4,62.4,49.1,89.8,53,0,7,72.9,43,59,0,46.3,1,25.4,15,8.5,5,95.8,1,0,0.0,0,7,0,0.0,7.0,0.47,arrival_2025_at_NEW MEX ST
