player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Mason Reiger,122721,ED,WISCONSIN,12,15,0,100.0,0,0,349,0,0,54.6,82.4,71.2,83.0,78.0,57.5,7,32,0,0,6,24.5,12,0,1,122.9,2,6,0,0,0,18,514,514,0,19,465,30,0,0,292,204,0,20,22,1,2,45,1,8,0,4.0,2025_this_team
Ben Barten,129913,DI,WISCONSIN,12,3,2,,0,0,349,0,0,61.8,70.1,83.4,61.0,71.7,46.6,0,6,0,0,,21.7,5,0,0,0.0,0,1,0,0,0,0,360,360,37,316,5,2,0,0,180,180,0,11,15,2,0,7,0,0,0,,2025_this_team
Aaron Witt,129937,ED,WISCONSIN,11,5,0,44.4,0,0,349,0,0,63.1,69.1,80.5,62.9,72.8,62.2,0,2,0,0,2,16.7,3,0,0,88.7,4,0,0,75,0,56,165,52,0,0,52,0,0,113,10,99,38,8,10,2,9,2,1,6,10,1.5,2025_this_team
Hammond Russell IV,144793,DI,W VIRGINIA,9,5,0,,0,1,343,0,0,60.1,63.7,83.9,61.4,62.7,69.7,0,1,0,0,,13.3,2,0,0,0.0,0,2,0,0,0,1,226,226,137,88,0,1,0,0,103,122,0,7,8,0,0,3,0,0,0,,arrival_2025_at_W VIRGINIA
Darryl Peterson,145175,ED,WISCONSIN,12,9,3,100.0,0,1,349,0,0,59.4,81.0,21.1,82.3,77.8,61.6,3,16,0,0,24,17.9,7,0,3,118.8,1,8,0,1,0,6,385,384,0,41,273,70,0,1,226,153,0,22,23,5,1,27,0,24,17,24.0,2025_this_team
Corey Walker,145937,ED,WISCONSIN,10,7,0,0.0,0,0,349,0,0,64.5,69.4,82.7,64.6,66.6,65.2,2,5,0,0,,11.8,2,0,0,39.6,0,0,0,0,0,4,177,177,0,14,149,14,0,0,76,97,0,6,8,0,1,7,0,0,0,,2025_this_team
Justus Boone,146709,ED,ARKANSAS,12,4,0,,0,1,111,0,0,35.8,54.5,45.8,55.8,61.6,57.9,3,8,0,0,,17.9,5,0,2,0.0,0,2,0,3,0,5,444,441,1,107,211,122,0,3,229,210,0,10,19,1,0,13,0,0,0,,arrival_2025_at_ARKANSAS
Sebastian Cheeks,156346,ED,WISCONSIN,12,5,0,100.0,0,0,349,0,0,64.5,70.2,65.6,68.6,69.0,56.7,6,20,0,0,13,21.4,6,0,1,97.2,3,1,0,4,0,37,368,363,0,0,362,1,0,5,207,124,1,15,17,3,3,27,0,22,32,7.3,2025_this_team
Parker Petersen,158423,DI,WISCONSIN,12,8,0,,0,0,349,0,0,60.0,69.6,81.8,59.9,72.1,80.8,1,5,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,227,227,27,193,1,6,0,0,119,108,0,8,11,1,0,6,0,0,0,,2025_this_team
Charles Perkins,159709,DI,WISCONSIN,8,2,0,,0,0,349,0,0,62.3,62.9,77.4,57.1,61.5,76.2,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,73,73,1,67,1,4,0,0,35,38,0,4,4,2,0,1,0,0,0,,2025_this_team
Tyreese Fearbry,163800,ED,WISCONSIN,9,0,0,,0,0,349,0,0,63.9,78.2,81.6,66.8,81.2,81.2,0,2,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,5,73,72,0,0,72,0,0,1,36,32,0,7,7,0,0,3,0,0,0,,2025_this_team
Brandon Lane,164104,DI,WISCONSIN,12,6,0,,0,0,349,0,0,59.2,66.5,54.8,57.0,73.6,60.9,0,8,0,0,,12.5,2,0,1,0.0,0,1,0,0,0,1,306,306,6,284,0,16,0,0,166,139,0,8,8,2,0,9,0,0,0,,2025_this_team
Junior Poyser,171210,DI,BUFFALO,12,6,0,,0,1,126,0,0,60.7,71.0,62.7,81.3,61.5,56.2,3,16,0,0,,11.5,3,0,1,0.0,0,5,0,0,0,2,423,422,13,407,0,2,0,1,202,219,0,22,17,1,0,24,0,0,0,,arrival_2025_at_BUFFALO
Micheal Garner,173927,ED,WISCONSIN,8,0,0,,0,0,349,0,0,60.6,53.8,77.1,57.3,52.1,32.9,1,2,0,0,,40.0,2,0,0,0.0,0,0,0,0,0,2,38,37,0,2,35,0,0,1,15,21,0,3,3,1,0,3,0,0,0,,2025_this_team
Jamel Howard,175526,DI,WISCONSIN,1,0,0,,0,0,349,0,0,,50.1,68.6,58.8,56.7,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,4,4,0,4,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,,2025_this_team
