player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,_provenance
Austin Kawecki,157799,C,OKLA STATE,11,100.0,1,262,62.4,76.8,57.8,0,10,376,100.0,100.0,98.1,3,12,2,710,658,0,0,710,394,394,52,0,316,0,arrival_2025_at_OKLA STATE
Emerson Mandell,183667,T,WISCONSIN,12,100.0,0,349,62.6,62.1,59.8,4,11,322,100.0,100.0,96.1,0,20,5,704,0,0,13,704,334,334,78,609,370,4,2025_this_team
Riley Mahlman,145172,T,WISCONSIN,12,100.0,0,349,62.9,72.0,58.8,4,7,318,100.0,100.0,97.3,4,14,3,698,0,0,596,698,330,330,1,78,368,23,2025_this_team
Joe Brunner,158690,G,WISCONSIN,12,100.0,0,349,66.5,72.7,63.9,2,7,316,100.0,100.0,98.6,1,9,0,694,0,690,1,694,328,328,0,2,366,1,2025_this_team
Davis Heinzen,145705,C,WISCONSIN,8,100.0,0,349,50.4,31.3,53.9,6,7,179,100.0,100.0,94.1,1,17,4,407,326,0,81,407,184,184,0,0,223,0,2025_this_team
Colin Cubberly,183654,G,WISCONSIN,8,100.0,0,349,59.2,64.9,57.4,3,5,176,100.0,100.0,96.6,2,10,2,393,0,0,0,393,185,185,391,0,208,2,2025_this_team
Kerry Kodanko,129922,G,WISCONSIN,9,100.0,0,349,51.9,58.5,50.6,0,3,127,100.0,100.0,98.0,1,4,1,272,58,2,0,272,129,129,212,0,143,0,2025_this_team
Jake Renfro,123577,C,WISCONSIN,4,100.0,0,349,69.8,73.2,71.4,1,2,100,100.0,100.0,97.5,3,4,1,225,225,0,0,225,105,105,0,0,120,0,2025_this_team
PJ Wilkins,175798,G,OLE MISS,10,100.0,0,226,61.0,67.8,57.7,0,3,100,100.0,100.0,98.5,1,3,0,189,0,188,0,189,105,105,1,0,84,0,arrival_2025_at_OLE MISS
Ryan Cory,183653,C,WISCONSIN,5,100.0,0,349,41.5,41.5,46.4,0,6,53,100.0,100.0,92.5,1,7,1,100,99,0,0,100,56,56,1,0,44,0,2025_this_team
JP Benzschawel,145164,G,WISCONSIN,3,100.0,0,349,54.6,83.6,47.2,0,0,18,100.0,100.0,100.0,0,0,0,37,0,12,0,37,18,18,22,2,19,1,2025_this_team
Blake Cherry,200100,G,ARKANSAS,3,100.0,0,111,61.8,81.5,57.3,0,0,12,100.0,100.0,100.0,0,0,0,25,0,22,0,25,13,13,0,0,12,3,arrival_2025_at_ARKANSAS
Leyton Nelson,163721,T,WISCONSIN,2,100.0,0,349,63.3,67.3,73.2,0,0,1,100.0,100.0,100.0,1,0,0,10,0,0,7,10,1,1,0,3,9,0,2025_this_team
Nolan Davenport,199572,G,WISCONSIN,1,100.0,0,349,59.5,,59.4,0,0,0,,,,0,0,0,3,0,0,0,3,0,0,3,0,3,0,2025_this_team
John Clifford,158692,G,WISCONSIN,1,100.0,0,349,60.0,,60.0,0,0,0,,,,0,0,0,2,0,1,1,2,0,0,0,0,2,0,2025_this_team
Joey Okla,158222,G,WISCONSIN,1,100.0,0,349,60.0,,60.0,0,0,0,,,,0,0,0,1,0,1,0,1,0,0,0,0,1,0,2025_this_team
