player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,_provenance
Rex Johnsen,157668,T,WYOMING,12,100.0,1,351,59.9,52.1,64.4,4,14,421,100.0,100.0,96.7,4,23,5,802,0,0,535,802,453,453,0,267,349,0,2025_this_team
Jack Walsh,150706,C,WYOMING,12,100.0,0,351,66.7,74.2,63.1,1,8,421,100.0,100.0,98.7,4,10,1,802,802,0,0,802,453,453,0,0,349,0,2025_this_team
Caden Barnett,150690,G,WYOMING,12,100.0,1,351,71.3,65.8,73.2,6,11,412,100.0,100.0,97.7,4,18,1,792,0,0,0,792,444,444,755,30,348,5,2025_this_team
Wes King,157673,G,WYOMING,12,100.0,0,351,66.2,74.8,65.5,1,9,355,100.0,100.0,98.6,6,10,0,683,0,683,0,683,386,386,0,0,297,0,2025_this_team
Braylon Jenkins,184957,T,WYOMING,9,100.0,1,351,63.2,50.8,68.5,3,7,196,100.0,100.0,97.4,5,10,0,383,0,0,0,383,206,206,8,375,177,0,2025_this_team
Jake Davies,174812,T,WYOMING,6,100.0,0,351,42.1,34.8,48.4,1,8,117,100.0,100.0,95.3,1,10,1,220,0,0,90,220,129,129,0,130,91,0,2025_this_team
Nathan Geiger,174819,T,WYOMING,4,100.0,0,351,61.7,53.0,71.5,2,2,85,100.0,100.0,95.3,3,6,2,180,0,0,180,180,93,93,0,0,87,0,2025_this_team
Luke Sandy,157677,G,WYOMING,11,100.0,1,351,65.9,77.7,64.4,0,0,100,100.0,100.0,99.0,2,1,1,174,8,119,0,174,103,103,47,0,71,0,2025_this_team
Jason Maciejczak,170234,G,NEBRASKA,2,100.0,0,238,79.5,83.5,79.6,0,0,16,100.0,100.0,100.0,0,0,0,33,0,33,0,33,17,17,0,0,16,0,arrival_2025_at_NEBRASKA
Caleb Hall,184953,G,WYOMING,2,100.0,0,351,53.7,68.8,53.2,0,0,1,100.0,100.0,100.0,0,0,0,8,0,8,0,8,1,1,0,0,7,0,2025_this_team
Giovanni Panozzo,184966,T,WYOMING,2,100.0,0,351,57.2,67.8,56.3,0,0,1,100.0,100.0,100.0,0,0,0,8,0,0,0,8,1,1,0,8,7,0,2025_this_team
Josiah Petaia,200051,T,WYOMING,1,100.0,0,351,58.5,68.9,57.3,0,0,1,100.0,100.0,100.0,0,0,0,5,0,0,5,5,1,1,0,0,4,0,2025_this_team
